Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	C_1_1 Spectral Count	C_1_2 Spectral Count	C_1_3 Spectral Count	C_1_4 Spectral Count	C_1_5 Spectral Count	C_1_6 Spectral Count	C_1_7 Spectral Count	C_1_8 Spectral Count	C_2_1 Spectral Count	C_2_2 Spectral Count	C_2_3 Spectral Count	C_2_4 Spectral Count	C_2_5 Spectral Count	C_2_6 Spectral Count	C_2_7 Spectral Count	C_2_8 Spectral Count	T_1_1 Spectral Count	T_1_2 Spectral Count	T_1_3 Spectral Count	T_1_4 Spectral Count	T_1_5 Spectral Count	T_1_6 Spectral Count	T_1_7 Spectral Count	T_1_8 Spectral Count	T_2_1 Spectral Count	T_2_2 Spectral Count	T_2_3 Spectral Count	T_2_4 Spectral Count	T_2_5 Spectral Count	T_2_6 Spectral Count	T_2_7 Spectral Count	T_2_8 Spectral Count	T_3_1 Spectral Count	T_3_2 Spectral Count	T_3_3 Spectral Count	T_3_4 Spectral Count	T_3_5 Spectral Count	T_3_6 Spectral Count	T_3_7 Spectral Count	T_3_8 Spectral Count	C_1_1 Unique Spectral Count	C_1_2 Unique Spectral Count	C_1_3 Unique Spectral Count	C_1_4 Unique Spectral Count	C_1_5 Unique Spectral Count	C_1_6 Unique Spectral Count	C_1_7 Unique Spectral Count	C_1_8 Unique Spectral Count	C_2_1 Unique Spectral Count	C_2_2 Unique Spectral Count	C_2_3 Unique Spectral Count	C_2_4 Unique Spectral Count	C_2_5 Unique Spectral Count	C_2_6 Unique Spectral Count	C_2_7 Unique Spectral Count	C_2_8 Unique Spectral Count	T_1_1 Unique Spectral Count	T_1_2 Unique Spectral Count	T_1_3 Unique Spectral Count	T_1_4 Unique Spectral Count	T_1_5 Unique Spectral Count	T_1_6 Unique Spectral Count	T_1_7 Unique Spectral Count	T_1_8 Unique Spectral Count	T_2_1 Unique Spectral Count	T_2_2 Unique Spectral Count	T_2_3 Unique Spectral Count	T_2_4 Unique Spectral Count	T_2_5 Unique Spectral Count	T_2_6 Unique Spectral Count	T_2_7 Unique Spectral Count	T_2_8 Unique Spectral Count	T_3_1 Unique Spectral Count	T_3_2 Unique Spectral Count	T_3_3 Unique Spectral Count	T_3_4 Unique Spectral Count	T_3_5 Unique Spectral Count	T_3_6 Unique Spectral Count	T_3_7 Unique Spectral Count	T_3_8 Unique Spectral Count	C_1_1 Total Spectral Count	C_1_2 Total Spectral Count	C_1_3 Total Spectral Count	C_1_4 Total Spectral Count	C_1_5 Total Spectral Count	C_1_6 Total Spectral Count	C_1_7 Total Spectral Count	C_1_8 Total Spectral Count	C_2_1 Total Spectral Count	C_2_2 Total Spectral Count	C_2_3 Total Spectral Count	C_2_4 Total Spectral Count	C_2_5 Total Spectral Count	C_2_6 Total Spectral Count	C_2_7 Total Spectral Count	C_2_8 Total Spectral Count	T_1_1 Total Spectral Count	T_1_2 Total Spectral Count	T_1_3 Total Spectral Count	T_1_4 Total Spectral Count	T_1_5 Total Spectral Count	T_1_6 Total Spectral Count	T_1_7 Total Spectral Count	T_1_8 Total Spectral Count	T_2_1 Total Spectral Count	T_2_2 Total Spectral Count	T_2_3 Total Spectral Count	T_2_4 Total Spectral Count	T_2_5 Total Spectral Count	T_2_6 Total Spectral Count	T_2_7 Total Spectral Count	T_2_8 Total Spectral Count	T_3_1 Total Spectral Count	T_3_2 Total Spectral Count	T_3_3 Total Spectral Count	T_3_4 Total Spectral Count	T_3_5 Total Spectral Count	T_3_6 Total Spectral Count	T_3_7 Total Spectral Count	T_3_8 Total Spectral Count	C_1_1 Intensity	C_1_2 Intensity	C_1_3 Intensity	C_1_4 Intensity	C_1_5 Intensity	C_1_6 Intensity	C_1_7 Intensity	C_1_8 Intensity	C_2_1 Intensity	C_2_2 Intensity	C_2_3 Intensity	C_2_4 Intensity	C_2_5 Intensity	C_2_6 Intensity	C_2_7 Intensity	C_2_8 Intensity	T_1_1 Intensity	T_1_2 Intensity	T_1_3 Intensity	T_1_4 Intensity	T_1_5 Intensity	T_1_6 Intensity	T_1_7 Intensity	T_1_8 Intensity	T_2_1 Intensity	T_2_2 Intensity	T_2_3 Intensity	T_2_4 Intensity	T_2_5 Intensity	T_2_6 Intensity	T_2_7 Intensity	T_2_8 Intensity	T_3_1 Intensity	T_3_2 Intensity	T_3_3 Intensity	T_3_4 Intensity	T_3_5 Intensity	T_3_6 Intensity	T_3_7 Intensity	T_3_8 Intensity	C_1_1 MaxLFQ Intensity	C_1_2 MaxLFQ Intensity	C_1_3 MaxLFQ Intensity	C_1_4 MaxLFQ Intensity	C_1_5 MaxLFQ Intensity	C_1_6 MaxLFQ Intensity	C_1_7 MaxLFQ Intensity	C_1_8 MaxLFQ Intensity	C_2_1 MaxLFQ Intensity	C_2_2 MaxLFQ Intensity	C_2_3 MaxLFQ Intensity	C_2_4 MaxLFQ Intensity	C_2_5 MaxLFQ Intensity	C_2_6 MaxLFQ Intensity	C_2_7 MaxLFQ Intensity	C_2_8 MaxLFQ Intensity	T_1_1 MaxLFQ Intensity	T_1_2 MaxLFQ Intensity	T_1_3 MaxLFQ Intensity	T_1_4 MaxLFQ Intensity	T_1_5 MaxLFQ Intensity	T_1_6 MaxLFQ Intensity	T_1_7 MaxLFQ Intensity	T_1_8 MaxLFQ Intensity	T_2_1 MaxLFQ Intensity	T_2_2 MaxLFQ Intensity	T_2_3 MaxLFQ Intensity	T_2_4 MaxLFQ Intensity	T_2_5 MaxLFQ Intensity	T_2_6 MaxLFQ Intensity	T_2_7 MaxLFQ Intensity	T_2_8 MaxLFQ Intensity	T_3_1 MaxLFQ Intensity	T_3_2 MaxLFQ Intensity	T_3_3 MaxLFQ Intensity	T_3_4 MaxLFQ Intensity	T_3_5 MaxLFQ Intensity	T_3_6 MaxLFQ Intensity	T_3_7 MaxLFQ Intensity	T_3_8 MaxLFQ Intensity	Indistinguishable Proteins
sp|P07003|POXB_ECOLI	P07003	POXB_ECOLI	poxB	572	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	Pyruvate dehydrogenase [ubiquinone]	1.0	0.999	21	538	538	538	25	27	24	28	14	0	0	0	23	23	27	28	10	0	0	0	20	9	25	21	20	0	0	0	19	24	14	18	12	1	0	0	20	22	24	24	35	1	0	0	25	27	24	28	14	0	0	0	23	23	27	28	10	0	0	0	20	9	25	21	20	0	0	0	19	24	14	18	12	1	0	0	20	22	24	24	35	1	0	0	25	27	24	28	14	0	0	0	23	23	27	28	10	0	0	0	20	9	25	21	20	0	0	0	19	24	14	18	12	1	0	0	20	22	24	24	35	1	0	0	2.43193651E9	3.57921587E9	2.72228634E9	3.07733453E9	4.12859488E8	0.0	0.0	0.0	3.99835162E9	3.64447642E9	4.3111798E9	5.5244902E9	2.19379008E8	0.0	0.0	0.0	1.8842697E9	8.4978152E7	3.15661875E9	2.40114432E9	6.5613709E8	0.0	0.0	0.0	2.05007846E9	2.53098368E9	1.81652595E9	1.53955853E9	3.89362976E8	2489404.8	0.0	0.0	1.23979418E9	1.27941632E9	3.82052787E9	3.55906253E9	1.97027469E9	8834210.0	0.0	0.0	3.9906096E8	6.6954131E8	4.66782816E8	5.5009363E8	7.0306848E7	0.0	0.0	0.0	6.1890138E8	6.7845037E8	7.4349773E8	8.2608115E8	7.645704E7	0.0	0.0	0.0	3.86082656E8	3.1258052E7	5.9663136E8	4.18163008E8	1.71990272E8	0.0	0.0	0.0	3.6616224E8	4.31216736E8	4.15377792E8	2.7684064E8	1.16574208E8	2715312.5	0.0	0.0	2.19235856E8	2.9815904E8	6.3527251E8	6.4837408E8	2.33129808E8	9635894.0	0.0	0.0	
sp|P07004|PROA_ECOLI	P07004	PROA_ECOLI	proA	417	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	Gamma-glutamyl phosphate reductase	1.0	0.999	11	249	249	249	12	9	11	12	8	0	0	1	8	10	9	14	5	0	0	0	12	4	8	9	14	0	0	0	12	8	10	13	5	0	0	0	10	9	10	12	14	0	0	0	12	9	11	12	8	0	0	1	8	10	9	14	5	0	0	0	12	4	8	9	14	0	0	0	12	8	10	13	5	0	0	0	10	9	10	12	14	0	0	0	12	9	11	12	8	0	0	1	8	10	9	14	5	0	0	0	12	4	8	9	14	0	0	0	12	8	10	13	5	0	0	0	10	9	10	12	14	0	0	0	7.3264614E8	7.8904E8	1.22099098E9	1.43370778E9	8.9176032E7	0.0	0.0	5645940.0	9.9479565E8	1.19026957E9	1.24456717E9	1.66756928E9	4.0002564E7	0.0	0.0	0.0	8.2385229E8	3.8171424E7	1.29534106E9	8.4966029E8	3.3135648E8	0.0	0.0	0.0	7.5149504E8	8.4212704E8	8.6662118E8	6.8308749E8	7.9709792E7	0.0	0.0	0.0	3.732336E8	6.0776781E8	1.03734989E9	1.11798746E9	6.7854266E8	0.0	0.0	0.0	2.19873872E8	2.83246432E8	2.69285184E8	3.17351104E8	2.5340686E7	0.0	0.0	1.9426398E7	2.9316592E8	3.36226976E8	3.51103136E8	3.9374576E8	2.9244276E7	0.0	0.0	0.0	2.28599504E8	1.6859956E7	3.38128928E8	2.29286112E8	1.0832872E8	0.0	0.0	0.0	1.8088696E8	2.44079968E8	2.70489056E8	1.88605696E8	4.1444804E7	0.0	0.0	0.0	9.4561136E7	1.56508544E8	2.91506816E8	2.56327248E8	1.61059216E8	0.0	0.0	0.0	
sp|P07012|RF2_ECOLI	P07012	RF2_ECOLI	prfB	365	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	Peptide chain release factor RF2	1.0	0.999	6	27	27	27	6	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	3	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2.95157728E8	5.1361564E7	0.0	0.0	0.0	0.0	0.0	0.0	3.64852736E8	1.4607276E7	0.0	0.0	0.0	0.0	0.0	0.0	3.15812416E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.17296608E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.38162656E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11390256E8	6.5439752E7	0.0	0.0	0.0	0.0	0.0	0.0	1.76702672E8	1.8611126E7	0.0	0.0	0.0	0.0	0.0	0.0	1.07688608E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.18964E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.6942452E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P07024|USHA_ECOLI	P07024	USHA_ECOLI	ushA	550	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	Protein UshA	1.0	0.999	7	50	50	50	1	0	2	2	1	0	0	0	3	2	2	3	0	0	0	0	2	0	0	2	4	0	0	0	4	3	3	4	0	0	0	0	1	2	2	4	3	0	0	0	1	0	2	2	1	0	0	0	3	2	2	3	0	0	0	0	2	0	0	2	4	0	0	0	4	3	3	4	0	0	0	0	1	2	2	4	3	0	0	0	1	0	2	2	1	0	0	0	3	2	2	3	0	0	0	0	2	0	0	2	4	0	0	0	4	3	3	4	0	0	0	0	1	2	2	4	3	0	0	0	1.82422E8	0.0	3.53535904E8	3.5080448E8	2.5568648E7	0.0	0.0	0.0	1.9761904E8	1.84513904E8	4.06679968E8	4.08737344E8	0.0	0.0	0.0	0.0	1.51527952E8	0.0	0.0	2.93582496E8	6.8429008E7	0.0	0.0	0.0	2.13715808E8	3.6121408E8	2.24266608E8	2.23573344E8	0.0	0.0	0.0	0.0	6.5369216E7	1.98244512E8	1.44734528E8	3.73845024E8	1.18501536E8	0.0	0.0	0.0	1.14221264E8	0.0	1.158092E8	1.52297392E8	2.126273E7	0.0	0.0	0.0	1.76350528E8	1.6387336E8	1.5653688E8	2.13881696E8	0.0	0.0	0.0	0.0	1.35209472E8	0.0	0.0	1.4302744E8	4.1321572E7	0.0	0.0	0.0	1.40390976E8	1.32890736E8	1.43582992E8	1.4832672E8	0.0	0.0	0.0	0.0	9.7659824E7	9.2867416E7	1.2543708E8	1.4128696E8	8.5195352E7	0.0	0.0	0.0	
sp|P07102|PPA_ECOLI	P07102	PPA_ECOLI	appA	432	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	Phytase AppA	1.0	0.999	14	133	133	133	7	9	8	4	0	0	0	0	11	8	7	6	0	0	0	0	8	1	6	1	0	0	0	0	12	8	8	3	0	0	0	0	7	9	7	3	0	0	0	0	7	9	8	4	0	0	0	0	11	8	7	6	0	0	0	0	8	1	6	1	0	0	0	0	12	8	8	3	0	0	0	0	7	9	7	3	0	0	0	0	7	9	8	4	0	0	0	0	11	8	7	6	0	0	0	0	8	1	6	1	0	0	0	0	12	8	8	3	0	0	0	0	7	9	7	3	0	0	0	0	4.14081344E8	6.4684602E8	4.92070976E8	1.58493168E8	0.0	0.0	0.0	0.0	1.17851789E9	7.4161952E8	1.84313702E9	2.38067888E8	0.0	0.0	0.0	0.0	4.0888016E8	7641401.0	2.66956896E8	4.995926E7	0.0	0.0	0.0	0.0	8.0969798E8	4.2115136E8	1.4708297E9	7.9247288E7	0.0	0.0	0.0	0.0	2.76920864E8	3.93535936E8	3.73405376E8	1.98460576E8	0.0	0.0	0.0	0.0	1.85954608E8	2.47822592E8	1.58832368E8	1.03037744E8	0.0	0.0	0.0	0.0	3.06042464E8	2.56331504E8	2.9090608E8	1.23592504E8	0.0	0.0	0.0	0.0	1.63893984E8	1.1799169E7	2.46308224E8	2.0924312E8	0.0	0.0	0.0	0.0	1.84154688E8	1.690812E8	1.84704448E8	5.2716368E7	0.0	0.0	0.0	0.0	1.13974184E8	1.53077872E8	1.60941632E8	1.3176648E8	0.0	0.0	0.0	0.0	
sp|P07118|SYV_ECOLI	P07118	SYV_ECOLI	valS	951	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	Valine--tRNA ligase	1.0	0.999	22	215	215	215	14	16	11	5	0	0	0	0	16	12	15	7	0	0	0	0	11	5	11	5	0	0	0	0	15	17	12	3	0	0	0	0	8	11	14	7	0	0	0	0	14	16	11	5	0	0	0	0	16	12	15	7	0	0	0	0	11	5	11	5	0	0	0	0	15	17	12	3	0	0	0	0	8	11	14	7	0	0	0	0	14	16	11	5	0	0	0	0	16	12	15	7	0	0	0	0	11	5	11	5	0	0	0	0	15	17	12	3	0	0	0	0	8	11	14	7	0	0	0	0	1.47982822E9	2.12971187E9	1.54010739E9	6.4680461E8	0.0	0.0	0.0	0.0	1.81666278E9	2.13313229E9	2.21012557E9	1.23519475E9	0.0	0.0	0.0	0.0	1.07483341E9	3.2858312E7	1.27143539E9	3.6347872E8	0.0	0.0	0.0	0.0	1.23584602E9	1.3496128E9	8.2882643E8	1.92291424E8	0.0	0.0	0.0	0.0	5.716121E8	9.5146854E8	1.15645722E9	5.03065664E8	0.0	0.0	0.0	0.0	3.53920192E8	5.466103E8	3.88193984E8	1.46161488E8	0.0	0.0	0.0	0.0	5.32232768E8	5.5306106E8	4.89440416E8	2.00063456E8	0.0	0.0	0.0	0.0	3.27275552E8	2.8545224E7	3.54525568E8	1.32239384E8	0.0	0.0	0.0	0.0	3.04634336E8	3.56368096E8	2.62424144E8	1.11740856E8	0.0	0.0	0.0	0.0	1.912204E8	2.40903792E8	4.2135152E8	1.76141056E8	0.0	0.0	0.0	0.0	
sp|P07330|CHEB_ECOLI	P07330	CHEB_ECOLI	cheB	349	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	Protein-glutamate methylesterase/protein-glutamine glutaminase	0.43	0.9787	1	3	3	3	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P07395|SYFB_ECOLI	P07395	SYFB_ECOLI	pheT	795	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	Phenylalanine--tRNA ligase beta subunit	1.0	0.999	22	200	200	200	9	15	10	5	0	0	0	0	15	15	15	2	0	0	0	0	13	2	16	3	0	0	0	0	18	18	12	3	0	0	0	0	9	6	11	3	0	0	0	0	9	15	10	5	0	0	0	0	15	15	15	2	0	0	0	0	13	2	16	3	0	0	0	0	18	18	12	3	0	0	0	0	9	6	11	3	0	0	0	0	9	15	10	5	0	0	0	0	15	15	15	2	0	0	0	0	13	2	16	3	0	0	0	0	18	18	12	3	0	0	0	0	9	6	11	3	0	0	0	0	8.8932077E8	2.0001344E9	9.2593638E8	2.05522144E8	0.0	0.0	0.0	0.0	2.23803085E9	1.7935273E9	1.55670502E9	1.79874976E8	0.0	0.0	0.0	0.0	1.27888448E9	1.2849709E7	1.52803238E9	9.2391264E7	0.0	0.0	0.0	0.0	1.60891968E9	1.46765222E9	1.11486682E9	9.3817392E7	0.0	0.0	0.0	0.0	3.57419456E8	2.94650432E8	8.597015E8	1.5570896E8	0.0	0.0	0.0	0.0	1.8570312E8	2.98589024E8	2.04242832E8	7.0339696E7	0.0	0.0	0.0	0.0	3.14572448E8	2.82255872E8	2.75943872E8	1.17290384E8	0.0	0.0	0.0	0.0	2.07791024E8	1.5829609E7	2.35280016E8	5.9173276E7	0.0	0.0	0.0	0.0	2.1816464E8	2.762456E8	2.15322832E8	6.0013752E7	0.0	0.0	0.0	0.0	1.024444E8	1.38187728E8	2.10060144E8	7.8623584E7	0.0	0.0	0.0	0.0	
sp|P07639|AROB_ECOLI	P07639	AROB_ECOLI	aroB	362	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	3-dehydroquinate synthase	1.0	0.999	3	13	13	13	1	2	1	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.4903984E7	1.18503232E8	3.6298728E7	0.0	0.0	0.0	0.0	0.0	2.3956504E8	8.8897872E7	0.0	0.0	0.0	0.0	0.0	0.0	6.7710496E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2198708E8	5.2256236E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.4903984E7	1.01518496E8	3.6298728E7	0.0	0.0	0.0	0.0	0.0	1.41523824E8	8.8897872E7	0.0	0.0	0.0	0.0	0.0	0.0	6.7710496E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8370608E7	5.2256236E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P07650|TYPH_ECOLI	P07650	TYPH_ECOLI	deoA	440	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	Thymidine phosphorylase	1.0	0.999	7	62	62	62	3	4	5	2	0	0	0	0	4	3	2	2	0	0	0	0	4	0	7	2	0	0	0	0	4	2	4	3	0	0	0	0	2	2	4	3	0	0	0	0	3	4	5	2	0	0	0	0	4	3	2	2	0	0	0	0	4	0	7	2	0	0	0	0	4	2	4	3	0	0	0	0	2	2	4	3	0	0	0	0	3	4	5	2	0	0	0	0	4	3	2	2	0	0	0	0	4	0	7	2	0	0	0	0	4	2	4	3	0	0	0	0	2	2	4	3	0	0	0	0	3.01356384E8	7.1931539E8	3.79199584E8	2.44542752E8	1.1819898E7	0.0	0.0	0.0	5.34392704E8	4.62196096E8	3.18643648E8	3.15907392E8	0.0	0.0	0.0	0.0	2.06044256E8	0.0	8.3152826E8	1.2959144E8	0.0	0.0	0.0	0.0	3.79330912E8	3.28606432E8	3.32345344E8	1.28891488E8	0.0	0.0	0.0	0.0	5.7397024E7	9.277788E7	4.17156032E8	1.85378784E8	0.0	0.0	0.0	0.0	1.46594768E8	2.35280192E8	1.7187752E8	1.50285184E8	1.2429366E7	0.0	0.0	0.0	2.7564704E8	2.25902944E8	1.91788608E8	1.93511968E8	0.0	0.0	0.0	0.0	1.16004056E8	0.0	2.07334448E8	8.0343896E7	0.0	0.0	0.0	0.0	1.26328824E8	2.02479072E8	1.61610448E8	6.4830228E7	0.0	0.0	0.0	0.0	3.5802796E7	5.6839672E7	1.38952992E8	9.0294336E7	0.0	0.0	0.0	0.0	
sp|P07762|GLGB_ECOLI	P07762	GLGB_ECOLI	glgB	728	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	1,4-alpha-glucan branching enzyme GlgB	0.9	0.9982	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.8483728E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
sp|P07813|SYL_ECOLI	P07813	SYL_ECOLI	leuS	860	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	Leucine--tRNA ligase	1.0	0.999	20	326	326	326	16	24	15	12	0	0	0	0	22	19	20	11	0	0	0	0	18	10	17	12	0	0	0	0	20	20	21	14	0	0	0	0	13	16	16	10	0	0	0	0	16	24	15	12	0	0	0	0	22	19	20	11	0	0	0	0	18	10	17	12	0	0	0	0	20	20	21	14	0	0	0	0	13	16	16	10	0	0	0	0	16	24	15	12	0	0	0	0	22	19	20	11	0	0	0	0	18	10	17	12	0	0	0	0	20	20	21	14	0	0	0	0	13	16	16	10	0	0	0	0	1.81644582E9	3.94529382E9	2.2044393E9	1.38009203E9	0.0	0.0	0.0	0.0	4.3303419E9	3.24484685E9	4.09202432E9	1.54395738E9	0.0	0.0	0.0	0.0	1.9945289E9	8.0455256E7	3.75907277E9	9.9393389E8	0.0	0.0	0.0	0.0	2.49614106E9	2.93297587E9	2.29075789E9	6.8354554E8	0.0	0.0	0.0	0.0	1.15678285E9	1.49557811E9	2.58844518E9	1.46896986E9	0.0	0.0	0.0	0.0	3.5308832E8	6.9251738E8	4.22753024E8	2.93704288E8	0.0	0.0	0.0	0.0	6.376665E8	6.3303859E8	6.873031E8	3.45052928E8	0.0	0.0	0.0	0.0	3.70439936E8	3.1256048E7	6.0632486E8	2.09959504E8	0.0	0.0	0.0	0.0	4.9997184E8	4.99093792E8	4.112504E8	1.77378096E8	0.0	0.0	0.0	0.0	2.18803552E8	2.81166752E8	5.33605664E8	3.06994592E8	0.0	0.0	0.0	0.0	
sp|P07862|DDLB_ECOLI	P07862	DDLB_ECOLI	ddlB	306	Escherichia coli (strain K12) OX=83333	1:Experimental evidence at protein level	D-alanine--D-alanine ligase B	1.0	0.999	4	5	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.811088E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.5721976E7	5.8402816E7	2.8881024E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9733862E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.811088E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0896136E7	0.0	2.8881024E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9733862E7	0.0	0.0	0.0	0.0	0.0	
