Protein ID,GO ID,Function,Link
P09557,GO:0051301|GO:0051302|GO:0051782,cell division|regulation of cell division|negative regulation of cell division,https://www.uniprot.org/uniprotkb/P09557
P0A6Y5,GO:0036506|GO:0006979|GO:0051082|GO:0008270|GO:0005737|GO:0042026|GO:0042802|GO:0005829|GO:0044183|GO:0009408,maintenance of unfolded protein|response to oxidative stress|unfolded protein binding|zinc ion binding|cytoplasm|protein refolding|identical protein binding|cytosol|protein folding chaperone|response to heat,https://www.uniprot.org/uniprotkb/P0A6Y5
P0A7J0,GO:0009231|GO:0000287|GO:0030145|GO:0005886|GO:0042802|GO:0042803|GO:0005829|GO:0008686,"riboflavin biosynthetic process|magnesium ion binding|manganese ion binding|plasma membrane|identical protein binding|protein homodimerization activity|cytosol|3,4-dihydroxy-2-butanone-4-phosphate synthase activity",https://www.uniprot.org/uniprotkb/P0A7J0
P0A7S3,GO:0003735|GO:0000372|GO:0034336|GO:0034337|GO:0002181|GO:0006412|GO:0000049|GO:0033120|GO:0005737|GO:1990145|GO:0019843|GO:0005829|GO:0005840|GO:0022627|GO:0046677,structural constituent of ribosome|Group I intron splicing|misfolded RNA binding|RNA folding|cytoplasmic translation|translation|tRNA binding|positive regulation of RNA splicing|cytoplasm|maintenance of translational fidelity|rRNA binding|cytosol|ribosome|cytosolic small ribosomal subunit|response to antibiotic,https://www.uniprot.org/uniprotkb/P0A7S3
P0A7Z4,GO:0016020|GO:0031564|GO:0003899|GO:0000345|GO:0048870|GO:0036460|GO:0006879|GO:0090605|GO:2000142|GO:0008023|GO:0032784|GO:0044780|GO:0042128|GO:0005737|GO:0003677|GO:0006352|GO:0005829|GO:0009408|GO:0046983|GO:0071973,membrane|transcription antitermination|DNA-directed 5'-3' RNA polymerase activity|cytosolic DNA-directed RNA polymerase complex|cell motility|cellular response to cell envelope stress|intracellular iron ion homeostasis|submerged biofilm formation|regulation of DNA-templated transcription initiation|transcription elongation factor complex|regulation of DNA-templated transcription elongation|bacterial-type flagellum assembly|nitrate assimilation|cytoplasm|DNA binding|DNA-templated transcription initiation|cytosol|response to heat|protein dimerization activity|bacterial-type flagellum-dependent cell motility,https://www.uniprot.org/uniprotkb/P0A7Z4
P0A832,GO:0003723|GO:0070929|GO:0005829,RNA binding|trans-translation|cytosol,https://www.uniprot.org/uniprotkb/P0A832
P0A855,GO:0016020|GO:0071237|GO:1905153|GO:0051301|GO:0015031|GO:0042597|GO:0017038|GO:0043213|GO:0032991|GO:0044877|GO:0030288|GO:0019904|GO:0032153,membrane|cellular response to bacteriocin|regulation of membrane invagination|cell division|protein transport|periplasmic space|protein import|bacteriocin transport|protein-containing complex|protein-containing complex binding|outer membrane-bounded periplasmic space|protein domain specific binding|cell division site,https://www.uniprot.org/uniprotkb/P0A855
P0A8E5,,,https://www.uniprot.org/uniprotkb/P0A8E5
P0A944,GO:0036211|GO:0008080|GO:0005737|GO:0008999|GO:0061733,protein modification process|N-acetyltransferase activity|cytoplasm|peptide-alanine-alpha-N-acetyltransferase activity|peptide-lysine-N-acetyltransferase activity,https://www.uniprot.org/uniprotkb/P0A944
P0A9C3,GO:0004034|GO:0033499|GO:0005737|GO:0006006|GO:0030246,aldose 1-epimerase activity|galactose catabolic process via UDP-galactose|cytoplasm|glucose metabolic process|carbohydrate binding,https://www.uniprot.org/uniprotkb/P0A9C3
P0A9M5,GO:0000310|GO:0000287|GO:0097216|GO:0051289|GO:0004422|GO:0006166|GO:0052657|GO:0005886|GO:0042802|GO:0005829|GO:0032991|GO:0032265|GO:0032263|GO:0032264,xanthine phosphoribosyltransferase activity|magnesium ion binding|guanosine tetraphosphate binding|protein homotetramerization|hypoxanthine phosphoribosyltransferase activity|purine ribonucleoside salvage|guanine phosphoribosyltransferase activity|plasma membrane|identical protein binding|cytosol|protein-containing complex|XMP salvage|GMP salvage|IMP salvage,https://www.uniprot.org/uniprotkb/P0A9M5
P0A9X1,GO:0016020|GO:0010043|GO:0016887|GO:0015633|GO:0043190|GO:0042626|GO:0005524|GO:0055052|GO:0071578,"membrane|response to zinc ion|ATP hydrolysis activity|ABC-type zinc transporter activity|ATP-binding cassette (ABC) transporter complex|ATPase-coupled transmembrane transporter activity|ATP binding|ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|zinc ion import across plasma membrane",https://www.uniprot.org/uniprotkb/P0A9X1
P0AAA3,GO:0009289,pilus,https://www.uniprot.org/uniprotkb/P0AAA3
P0AAE2,GO:0016020|GO:0015171|GO:0003333|GO:0005886,membrane|amino acid transmembrane transporter activity|amino acid transmembrane transport|plasma membrane,https://www.uniprot.org/uniprotkb/P0AAE2
P0AAL6,GO:0051539|GO:0046872,"4 iron, 4 sulfur cluster binding|metal ion binding",https://www.uniprot.org/uniprotkb/P0AAL6
P0AAZ0,GO:0005886,plasma membrane,https://www.uniprot.org/uniprotkb/P0AAZ0
P0ABF1,GO:0043633|GO:0003723|GO:0071047|GO:1990817|GO:0006397|GO:0005737|GO:0031123|GO:0006276|GO:0005886|GO:0005829|GO:0005524|GO:0009451,polyadenylation-dependent RNA catabolic process|RNA binding|polyadenylation-dependent mRNA catabolic process|poly(A) RNA polymerase activity|mRNA processing|cytoplasm|RNA 3'-end processing|plasmid maintenance|plasma membrane|cytosol|ATP binding|RNA modification,https://www.uniprot.org/uniprotkb/P0ABF1
P0AC00,GO:0097367|GO:0004360|GO:0016787|GO:0006487|GO:0016836|GO:0006002|GO:0042802|GO:0006047,carbohydrate derivative binding|glutamine-fructose-6-phosphate transaminase (isomerizing) activity|hydrolase activity|protein N-linked glycosylation|hydro-lyase activity|fructose 6-phosphate metabolic process|identical protein binding|UDP-N-acetylglucosamine metabolic process,https://www.uniprot.org/uniprotkb/P0AC00
P0ACQ7,GO:0003700|GO:0000987|GO:0005737|GO:0006355|GO:0045893|GO:0005829|GO:0070689,DNA-binding transcription factor activity|cis-regulatory region sequence-specific DNA binding|cytoplasm|regulation of DNA-templated transcription|positive regulation of DNA-templated transcription|cytosol|L-threonine catabolic process to propionate,https://www.uniprot.org/uniprotkb/P0ACQ7
P0ACR7,GO:0003700|GO:0003677|GO:0006355|GO:0005829,DNA-binding transcription factor activity|DNA binding|regulation of DNA-templated transcription|cytosol,https://www.uniprot.org/uniprotkb/P0ACR7
P0AD14,GO:0031667|GO:0033293|GO:0000155|GO:0005886|GO:0005524|GO:0007165|GO:0071555,response to nutrient levels|monocarboxylic acid binding|phosphorelay sensor kinase activity|plasma membrane|ATP binding|signal transduction|cell wall organization,https://www.uniprot.org/uniprotkb/P0AD14
P0ADG1,GO:0009082|GO:0009097|GO:0009099|GO:0008652|GO:0005948|GO:0003984,branched-chain amino acid biosynthetic process|isoleucine biosynthetic process|valine biosynthetic process|amino acid biosynthetic process|acetolactate synthase complex|acetolactate synthase activity,https://www.uniprot.org/uniprotkb/P0ADG1
P0ADP0,GO:0009231|GO:0000287|GO:0016791|GO:0043726|GO:0022611,riboflavin biosynthetic process|magnesium ion binding|phosphatase activity|5-amino-6-(5-phosphoribitylamino)uracil phosphatase activity|dormancy process,https://www.uniprot.org/uniprotkb/P0ADP0
P0AE34,GO:0016020|GO:0097638|GO:0005886|GO:0055052|GO:0022857,"membrane|L-arginine import across plasma membrane|plasma membrane|ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|transmembrane transporter activity",https://www.uniprot.org/uniprotkb/P0AE34
P0AES2,GO:0000287|GO:0008872|GO:0042838,magnesium ion binding|glucarate dehydratase activity|D-glucarate catabolic process,https://www.uniprot.org/uniprotkb/P0AES2
P0AEZ3,GO:0000917|GO:0060187|GO:0016887|GO:0051301|GO:0051782|GO:0005886|GO:0042802|GO:0005829|GO:0005524|GO:0007059|GO:0009898,division septum assembly|cell pole|ATP hydrolysis activity|cell division|negative regulation of cell division|plasma membrane|identical protein binding|cytosol|ATP binding|chromosome segregation|cytoplasmic side of plasma membrane,https://www.uniprot.org/uniprotkb/P0AEZ3
P0AFG0,GO:0031564|GO:0008023|GO:0032784|GO:0006353|GO:0140673|GO:0005829|GO:0042254,transcription antitermination|transcription elongation factor complex|regulation of DNA-templated transcription elongation|DNA-templated transcription termination|transcription elongation-coupled chromatin remodeling|cytosol|ribosome biogenesis,https://www.uniprot.org/uniprotkb/P0AFG0
P0AG48,GO:0003735|GO:0002181|GO:0005737|GO:0019843|GO:0005829|GO:0022625,structural constituent of ribosome|cytoplasmic translation|cytoplasm|rRNA binding|cytosol|cytosolic large ribosomal subunit,https://www.uniprot.org/uniprotkb/P0AG48
P0AGB6,GO:0000345|GO:0009266|GO:0036460|GO:0090605|GO:0006970|GO:2000142|GO:1903865|GO:0016987|GO:0005737|GO:0003677|GO:0006355|GO:0006352|GO:0045892|GO:0005886,cytosolic DNA-directed RNA polymerase complex|response to temperature stimulus|cellular response to cell envelope stress|submerged biofilm formation|response to osmotic stress|regulation of DNA-templated transcription initiation|sigma factor antagonist complex|sigma factor activity|cytoplasm|DNA binding|regulation of DNA-templated transcription|DNA-templated transcription initiation|negative regulation of DNA-templated transcription|plasma membrane,https://www.uniprot.org/uniprotkb/P0AGB6
P0CF92,GO:0004803|GO:0003677|GO:0006313,transposase activity|DNA binding|DNA transposition,https://www.uniprot.org/uniprotkb/P0CF92
P0DPC5,,,https://www.uniprot.org/uniprotkb/P0DPC5
P0DPP7,GO:0005886,plasma membrane,https://www.uniprot.org/uniprotkb/P0DPP7
P0DSE3,,,https://www.uniprot.org/uniprotkb/P0DSE3
P0DSF2,,,https://www.uniprot.org/uniprotkb/P0DSF2
P16689,GO:0016810|GO:0019700,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds|organic phosphonate catabolic process",https://www.uniprot.org/uniprotkb/P16689
P16869,GO:0016020|GO:0009279|GO:1902495|GO:0006879|GO:0038023|GO:0072711|GO:0015687|GO:0044718|GO:0015092|GO:0015344|GO:0015343,membrane|cell outer membrane|transmembrane transporter complex|intracellular iron ion homeostasis|signaling receptor activity|cellular response to hydroxyurea|ferric-hydroxamate import into cell|siderophore transmembrane transport|high-affinity ferric iron transmembrane transporter activity|siderophore uptake transmembrane transporter activity|siderophore-iron transmembrane transporter activity,https://www.uniprot.org/uniprotkb/P16869
P17334,GO:1902815|GO:0009401|GO:1902495|GO:0008982|GO:0005886,"N,N'-diacetylchitobiose import|phosphoenolpyruvate-dependent sugar phosphotransferase system|transmembrane transporter complex|protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|plasma membrane",https://www.uniprot.org/uniprotkb/P17334
P21169,GO:0097216|GO:0004586|GO:0033387|GO:0008295|GO:0030170|GO:0005829,guanosine tetraphosphate binding|ornithine decarboxylase activity|putrescine biosynthetic process from ornithine|spermidine biosynthetic process|pyridoxal phosphate binding|cytosol,https://www.uniprot.org/uniprotkb/P21169
P23331,GO:0004797|GO:0008270|GO:0036198|GO:0042802|GO:0005829|GO:0005524|GO:0046104|GO:0071897,thymidine kinase activity|zinc ion binding|dTMP salvage|identical protein binding|cytosol|ATP binding|thymidine metabolic process|DNA biosynthetic process,https://www.uniprot.org/uniprotkb/P23331
P23721,GO:0004648|GO:0006563|GO:0006564|GO:0033359|GO:0030170|GO:0005737|GO:0008615|GO:0042823|GO:0042803|GO:0005829,O-phospho-L-serine:2-oxoglutarate aminotransferase activity|L-serine metabolic process|L-serine biosynthetic process|lysine biosynthetic process via diaminopimelate and N-succinyl-2-amino-6-ketopimelate|pyridoxal phosphate binding|cytoplasm|pyridoxine biosynthetic process|pyridoxal phosphate biosynthetic process|protein homodimerization activity|cytosol,https://www.uniprot.org/uniprotkb/P23721
P23873,GO:0043565|GO:0001217|GO:0000976|GO:0110001|GO:0001046|GO:0006351|GO:0006355|GO:0045892|GO:0040008|GO:0042803|GO:0032993,sequence-specific DNA binding|DNA-binding transcription repressor activity|transcription cis-regulatory region binding|toxin-antitoxin complex|core promoter sequence-specific DNA binding|DNA-templated transcription|regulation of DNA-templated transcription|negative regulation of DNA-templated transcription|regulation of growth|protein homodimerization activity|protein-DNA complex,https://www.uniprot.org/uniprotkb/P23873
P24182,GO:0006633|GO:0004075|GO:2001295|GO:0009317|GO:0005737|GO:0045717|GO:0042803|GO:0005829|GO:0005524|GO:0003989|GO:0046872,fatty acid biosynthetic process|biotin carboxylase activity|malonyl-CoA biosynthetic process|acetyl-CoA carboxylase complex|cytoplasm|negative regulation of fatty acid biosynthetic process|protein homodimerization activity|cytosol|ATP binding|acetyl-CoA carboxylase activity|metal ion binding,https://www.uniprot.org/uniprotkb/P24182
P25396,GO:0006812|GO:0005886|GO:0042802|GO:0055085|GO:0046677|GO:0046690|GO:0046583,monoatomic cation transport|plasma membrane|identical protein binding|transmembrane transport|response to antibiotic|response to tellurium ion|monoatomic cation efflux transmembrane transporter activity,https://www.uniprot.org/uniprotkb/P25396
P25666,,,https://www.uniprot.org/uniprotkb/P25666
P25745,GO:0002143|GO:0016783|GO:0000049|GO:1990228|GO:0005829|GO:0005524,tRNA wobble position uridine thiolation|sulfurtransferase activity|tRNA binding|sulfurtransferase complex|cytosol|ATP binding,https://www.uniprot.org/uniprotkb/P25745
P27126,GO:0009244|GO:0005886,lipopolysaccharide core region biosynthetic process|plasma membrane,https://www.uniprot.org/uniprotkb/P27126
P30860,GO:0016020|GO:0097638|GO:0016597|GO:1903826|GO:0042597|GO:0015276|GO:0030288|GO:0055052|GO:0034618,"membrane|L-arginine import across plasma membrane|amino acid binding|L-arginine transmembrane transport|periplasmic space|ligand-gated monoatomic ion channel activity|outer membrane-bounded periplasmic space|ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|arginine binding",https://www.uniprot.org/uniprotkb/P30860
P30958,GO:1990391|GO:0000716|GO:0006974|GO:0016787|GO:0003684|GO:0003677|GO:0015616|GO:0043175|GO:0006355|GO:0006281|GO:0006283|GO:0006294|GO:0005829|GO:0005524,"DNA repair complex|transcription-coupled nucleotide-excision repair, DNA damage recognition|DNA damage response|hydrolase activity|damaged DNA binding|DNA binding|DNA translocase activity|RNA polymerase core enzyme binding|regulation of DNA-templated transcription|DNA repair|transcription-coupled nucleotide-excision repair|nucleotide-excision repair, preincision complex assembly|cytosol|ATP binding",https://www.uniprot.org/uniprotkb/P30958
P31126,GO:0015833|GO:0035442|GO:0015031|GO:0005886|GO:0071916,peptide transport|dipeptide transmembrane transport|protein transport|plasma membrane|dipeptide transmembrane transporter activity,https://www.uniprot.org/uniprotkb/P31126
P31808,GO:0016491,oxidoreductase activity,https://www.uniprot.org/uniprotkb/P31808
P32710,GO:0005886|GO:0015232|GO:0020037|GO:0017004,plasma membrane|heme transmembrane transporter activity|heme binding|cytochrome complex assembly,https://www.uniprot.org/uniprotkb/P32710
P33225,GO:0043546|GO:0009055|GO:0009061|GO:0009060|GO:0009033|GO:1904852|GO:0006885|GO:0050626|GO:0030151|GO:0030288|GO:0019645,molybdopterin cofactor binding|electron transfer activity|anaerobic respiration|aerobic respiration|trimethylamine-N-oxide reductase activity|trimethylamine-N-oxide reductase (cytochrome c) complex|regulation of pH|trimethylamine-N-oxide reductase (cytochrome c) activity|molybdenum ion binding|outer membrane-bounded periplasmic space|anaerobic electron transport chain,https://www.uniprot.org/uniprotkb/P33225
P33232,GO:0009060|GO:0004459|GO:0005886|GO:0042355|GO:0010181|GO:0019516,aerobic respiration|L-lactate dehydrogenase activity|plasma membrane|L-fucose catabolic process|FMN binding|obsolete lactate oxidation,https://www.uniprot.org/uniprotkb/P33232
P34209,GO:0005886,plasma membrane,https://www.uniprot.org/uniprotkb/P34209
P37659,GO:0005886|GO:0030244,plasma membrane|cellulose biosynthetic process,https://www.uniprot.org/uniprotkb/P37659
P37692,GO:0009244|GO:0008713|GO:0005829,lipopolysaccharide core region biosynthetic process|ADP-heptose-lipopolysaccharide heptosyltransferase activity|cytosol,https://www.uniprot.org/uniprotkb/P37692
P39099,GO:0004252|GO:0006515|GO:0051603|GO:0008233|GO:0042597|GO:0042802,serine-type endopeptidase activity|protein quality control for misfolded or incompletely synthesized proteins|proteolysis involved in protein catabolic process|peptidase activity|periplasmic space|identical protein binding,https://www.uniprot.org/uniprotkb/P39099
P39297,GO:0006974|GO:0005886|GO:0044010,DNA damage response|plasma membrane|single-species biofilm formation,https://www.uniprot.org/uniprotkb/P39297
P39337,GO:0008080,N-acetyltransferase activity,https://www.uniprot.org/uniprotkb/P39337
P39390,,,https://www.uniprot.org/uniprotkb/P39390
P39408,GO:0016788|GO:0005829|GO:0046872,"hydrolase activity, acting on ester bonds|cytosol|metal ion binding",https://www.uniprot.org/uniprotkb/P39408
P46481,GO:0005886|GO:0022857|GO:0046942,plasma membrane|transmembrane transporter activity|carboxylic acid transport,https://www.uniprot.org/uniprotkb/P46481
P46853,GO:0016491|GO:0000166|GO:0005829,oxidoreductase activity|nucleotide binding|cytosol,https://www.uniprot.org/uniprotkb/P46853
P50457,GO:0003867|GO:0034386|GO:0030170|GO:0005829|GO:0009447|GO:0009450,4-aminobutyrate transaminase activity|4-aminobutyrate:2-oxoglutarate transaminase activity|pyridoxal phosphate binding|cytosol|putrescine catabolic process|gamma-aminobutyric acid catabolic process,https://www.uniprot.org/uniprotkb/P50457
P52044,GO:0003700|GO:0006974|GO:0003677|GO:0006355,DNA-binding transcription factor activity|DNA damage response|DNA binding|regulation of DNA-templated transcription,https://www.uniprot.org/uniprotkb/P52044
P52124,GO:0005829,cytosol,https://www.uniprot.org/uniprotkb/P52124
P60560,GO:1902560|GO:0005737|GO:0042802|GO:0005829|GO:0003920|GO:0015951|GO:0046872|GO:0032264,GMP reductase complex|cytoplasm|identical protein binding|cytosol|GMP reductase activity|purine ribonucleotide interconversion|metal ion binding|IMP salvage,https://www.uniprot.org/uniprotkb/P60560
P64442,GO:0044010|GO:0010447,single-species biofilm formation|response to acidic pH,https://www.uniprot.org/uniprotkb/P64442
P64481,GO:0006974|GO:0005886,DNA damage response|plasma membrane,https://www.uniprot.org/uniprotkb/P64481
P64540,GO:0005829,cytosol,https://www.uniprot.org/uniprotkb/P64540
P67826,GO:0005737|GO:0005507,cytoplasm|copper ion binding,https://www.uniprot.org/uniprotkb/P67826
P68187,GO:0016020|GO:0015768|GO:1902344|GO:0016887|GO:1990154|GO:0043190|GO:0005524|GO:0042956|GO:1990060|GO:0015423|GO:0055052|GO:0034763|GO:0140297,"membrane|maltose transport|negative regulation of maltose transport|ATP hydrolysis activity|enzyme IIA-maltose transporter complex|ATP-binding cassette (ABC) transporter complex|ATP binding|maltodextrin transmembrane transport|maltose transport complex|ABC-type maltose transporter activity|ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|negative regulation of transmembrane transport|DNA-binding transcription factor binding",https://www.uniprot.org/uniprotkb/P68187
P69411,GO:0009279|GO:0036460|GO:0035556|GO:0070299|GO:0106234|GO:0031241|GO:0030288,cell outer membrane|cellular response to cell envelope stress|intracellular signal transduction|positive regulation of phosphorelay signal transduction system|outer membrane protein complex|periplasmic side of cell outer membrane|outer membrane-bounded periplasmic space,https://www.uniprot.org/uniprotkb/P69411
P69776,GO:0016020|GO:0043580|GO:0009279|GO:0008289|GO:0042834|GO:0042802|GO:0005576|GO:0030258|GO:0030288,membrane|periplasmic space organization|cell outer membrane|lipid binding|peptidoglycan binding|identical protein binding|extracellular region|lipid modification|outer membrane-bounded periplasmic space,https://www.uniprot.org/uniprotkb/P69776
P69824,GO:0009401|GO:0016301|GO:0005737,phosphoenolpyruvate-dependent sugar phosphotransferase system|kinase activity|cytoplasm,https://www.uniprot.org/uniprotkb/P69824
P75676,,,https://www.uniprot.org/uniprotkb/P75676
P75691,GO:0016616|GO:0008270|GO:0008106,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor|zinc ion binding|alcohol dehydrogenase (NADP+) activity",https://www.uniprot.org/uniprotkb/P75691
P75711,,,https://www.uniprot.org/uniprotkb/P75711
P75736,GO:0016790|GO:0106435|GO:0005829,thiolester hydrolase activity|carboxylesterase activity|cytosol,https://www.uniprot.org/uniprotkb/P75736
P75763,GO:0005886|GO:0022857,plasma membrane|transmembrane transporter activity,https://www.uniprot.org/uniprotkb/P75763
P75780,GO:0016020|GO:0015891|GO:0009279|GO:1902495|GO:0006879|GO:0038023|GO:0033214|GO:0042884|GO:0015344,membrane|siderophore transport|cell outer membrane|transmembrane transporter complex|intracellular iron ion homeostasis|signaling receptor activity|siderophore-dependent iron import into cell|microcin transport|siderophore uptake transmembrane transporter activity,https://www.uniprot.org/uniprotkb/P75780
P75901,GO:0033573|GO:0015093|GO:0005886|GO:0034755,high-affinity iron permease complex|ferrous iron transmembrane transporter activity|plasma membrane|iron ion transmembrane transport,https://www.uniprot.org/uniprotkb/P75901
P76091,GO:0009273|GO:0016772|GO:0005886,"peptidoglycan-based cell wall biogenesis|transferase activity, transferring phosphorus-containing groups|plasma membrane",https://www.uniprot.org/uniprotkb/P76091
P76425,GO:0010045|GO:0006824|GO:0035444|GO:0035785|GO:0015099|GO:0005886|GO:0032025|GO:0046583,response to nickel cation|cobalt ion transport|nickel cation transmembrane transport|intracellular nickel ion homeostasis|nickel cation transmembrane transporter activity|plasma membrane|response to cobalt ion|monoatomic cation efflux transmembrane transporter activity,https://www.uniprot.org/uniprotkb/P76425
P76639,GO:0000160|GO:0003677|GO:0006355|GO:0005829,phosphorelay signal transduction system|DNA binding|regulation of DNA-templated transcription|cytosol,https://www.uniprot.org/uniprotkb/P76639
P77196,GO:0009279|GO:0009297|GO:0015473,cell outer membrane|pilus assembly|fimbrial usher porin activity,https://www.uniprot.org/uniprotkb/P77196
P77432,GO:0009372|GO:0005737|GO:0005975|GO:0044010|GO:0071518,quorum sensing|cytoplasm|carbohydrate metabolic process|single-species biofilm formation|autoinducer-2 kinase activity,https://www.uniprot.org/uniprotkb/P77432
P77624,GO:0008804|GO:0005829|GO:0019546,carbamate kinase activity|cytosol|arginine deiminase pathway,https://www.uniprot.org/uniprotkb/P77624
P77737,GO:0016020|GO:0015833|GO:0016887|GO:0015031|GO:0005886|GO:0005524|GO:0055052|GO:0140205|GO:0140207,"membrane|peptide transport|ATP hydrolysis activity|protein transport|plasma membrane|ATP binding|ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing|oligopeptide import across plasma membrane|tripeptide import across plasma membrane",https://www.uniprot.org/uniprotkb/P77737
A0A385XJL2,,,https://www.uniprot.org/uniprotkb/A0A385XJL2
P03018,GO:0000717|GO:0000725|GO:0009314|GO:0016887|GO:0016853|GO:0070716|GO:0043138|GO:0033202|GO:0003677|GO:0003678|GO:0015616|GO:0006289|GO:0006298|GO:0006268|GO:0017116|GO:0017117|GO:0031297|GO:0070581|GO:0042803|GO:0005829|GO:0005524|GO:0009432|GO:0032508,"nucleotide-excision repair, DNA duplex unwinding|recombinational repair|response to radiation|ATP hydrolysis activity|isomerase activity|mismatch repair involved in maintenance of fidelity involved in DNA-dependent DNA replication|3'-5' DNA helicase activity|DNA helicase complex|DNA binding|DNA helicase activity|DNA translocase activity|nucleotide-excision repair|mismatch repair|DNA unwinding involved in DNA replication|single-stranded DNA helicase activity|single-stranded DNA-dependent ATP-dependent DNA helicase complex|replication fork processing|rolling circle DNA replication|protein homodimerization activity|cytosol|ATP binding|SOS response|DNA duplex unwinding",https://www.uniprot.org/uniprotkb/P03018
P06961,GO:0004112|GO:0000287|GO:0016791|GO:0000049|GO:0004810|GO:0001680|GO:0106354|GO:0160016|GO:0005524|GO:0042245,cyclic-nucleotide phosphodiesterase activity|magnesium ion binding|phosphatase activity|tRNA binding|CCA tRNA nucleotidyltransferase activity|tRNA 3'-terminal CCA addition|tRNA surveillance|CCACCA tRNA nucleotidyltransferase activity|ATP binding|RNA repair,https://www.uniprot.org/uniprotkb/P06961
