Protein ID,GO ID,Function,Link
P20484,GO:0016020|GO:0000463|GO:0000466|GO:0031965|GO:0005730|GO:0042273,"membrane|maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)|maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)|nuclear membrane|nucleolus|ribosomal large subunit biogenesis",https://www.uniprot.org/uniprotkb/P20484
P20604,GO:0002098|GO:0031929|GO:0004722|GO:1903432|GO:0000082|GO:0060237|GO:0051301|GO:0035556|GO:0008287|GO:0000159|GO:0005737|GO:0006281|GO:0005634|GO:0032956|GO:0034599|GO:0017018|GO:0046872,tRNA wobble uridine modification|TOR signaling|protein serine/threonine phosphatase activity|regulation of TORC1 signaling|G1/S transition of mitotic cell cycle|regulation of fungal-type cell wall organization|cell division|intracellular signal transduction|protein serine/threonine phosphatase complex|protein phosphatase type 2A complex|cytoplasm|DNA repair|nucleus|regulation of actin cytoskeleton organization|cellular response to oxidative stress|myosin phosphatase activity|metal ion binding,https://www.uniprot.org/uniprotkb/P20604
P21372,GO:0003724|GO:0000348|GO:0000243|GO:0000398|GO:0016887|GO:0008186|GO:0003676|GO:0005634|GO:0005524,"RNA helicase activity|mRNA branch site recognition|commitment complex|mRNA splicing, via spliceosome|ATP hydrolysis activity|ATP-dependent activity, acting on RNA|nucleic acid binding|nucleus|ATP binding",https://www.uniprot.org/uniprotkb/P21372
P24521,GO:0006696|GO:0004631|GO:0031388|GO:0005737|GO:0005773|GO:0005777|GO:0005634|GO:0005524|GO:0010142|GO:0019287,"ergosterol biosynthetic process|phosphomevalonate kinase activity|organic acid phosphorylation|cytoplasm|vacuole|peroxisome|nucleus|ATP binding|farnesyl diphosphate biosynthetic process, mevalonate pathway|isopentenyl diphosphate biosynthetic process, mevalonate pathway",https://www.uniprot.org/uniprotkb/P24521
P25515,GO:0006623|GO:0016020|GO:0061795|GO:0000329|GO:0000220|GO:0048388|GO:0006879|GO:0006878|GO:0006897|GO:0016471|GO:0033176|GO:0000139|GO:0015078|GO:1902600|GO:0007033|GO:0007035|GO:0046961,"protein targeting to vacuole|membrane|Golgi lumen acidification|fungal-type vacuole membrane|vacuolar proton-transporting V-type ATPase, V0 domain|endosomal lumen acidification|intracellular iron ion homeostasis|intracellular copper ion homeostasis|endocytosis|vacuolar proton-transporting V-type ATPase complex|proton-transporting V-type ATPase complex|Golgi membrane|proton transmembrane transporter activity|proton transmembrane transport|vacuole organization|vacuolar acidification|proton-transporting ATPase activity, rotational mechanism",https://www.uniprot.org/uniprotkb/P25515
P25637,GO:0003785|GO:0034198|GO:0006446|GO:0031333|GO:0004860|GO:0001933|GO:0005737|GO:0005634|GO:0140469|GO:0043022|GO:0033673,actin monomer binding|cellular response to amino acid starvation|regulation of translational initiation|negative regulation of protein-containing complex assembly|protein kinase inhibitor activity|negative regulation of protein phosphorylation|cytoplasm|nucleus|GCN2-mediated signaling|ribosome binding|negative regulation of kinase activity,https://www.uniprot.org/uniprotkb/P25637
P25653,GO:0001403|GO:0009277|GO:0008360|GO:0098552|GO:0005576|GO:0005937|GO:0000755|GO:0000753|GO:0007155|GO:0044182|GO:0071555|GO:0019236|GO:0071944,invasive growth in response to glucose limitation|fungal-type cell wall|regulation of cell shape|side of membrane|extracellular region|mating projection|cytogamy|cell morphogenesis involved in conjugation with cellular fusion|cell adhesion|filamentous growth of a population of unicellular organisms|cell wall organization|response to pheromone|cell periphery,https://www.uniprot.org/uniprotkb/P25653
P29461,GO:0043937|GO:0004725|GO:0051457|GO:1903138|GO:0005737|GO:0005634|GO:0071474|GO:0071507|GO:0071852,regulation of sporulation|protein tyrosine phosphatase activity|maintenance of protein location in nucleus|negative regulation of cell integrity MAPK cascade|cytoplasm|nucleus|cellular hyperosmotic response|pheromone response MAPK cascade|fungal-type cell wall organization or biogenesis,https://www.uniprot.org/uniprotkb/P29461
P30902,GO:0000274|GO:0005753|GO:0005743|GO:0005739|GO:0015078|GO:0015986,"obsolete mitochondrial proton-transporting ATP synthase, stator stalk|obsolete mitochondrial proton-transporting ATP synthase complex|mitochondrial inner membrane|mitochondrion|proton transmembrane transporter activity|proton motive force-driven ATP synthesis",https://www.uniprot.org/uniprotkb/P30902
P32364,GO:0003774|GO:0043332|GO:0006904|GO:0016887|GO:0008017|GO:0000131|GO:0030705|GO:0005737|GO:0008574|GO:0005871|GO:0005874|GO:0005524|GO:0005934|GO:0005935|GO:0007018,cytoskeletal motor activity|mating projection tip|vesicle docking involved in exocytosis|ATP hydrolysis activity|microtubule binding|incipient cellular bud site|cytoskeleton-dependent intracellular transport|cytoplasm|plus-end-directed microtubule motor activity|kinesin complex|microtubule|ATP binding|cellular bud tip|cellular bud neck|microtubule-based movement,https://www.uniprot.org/uniprotkb/P32364
P32367,GO:0006383|GO:0006384|GO:0000127|GO:0042791|GO:0003677|GO:0005634|GO:0005654,transcription by RNA polymerase III|transcription initiation at RNA polymerase III promoter|transcription factor TFIIIC complex|5S class rRNA transcription by RNA polymerase III|DNA binding|nucleus|nucleoplasm,https://www.uniprot.org/uniprotkb/P32367
P32494,GO:0003713|GO:0000124|GO:0006325|GO:0006338|GO:0006357|GO:0005634|GO:0140671|GO:0046695,transcription coactivator activity|SAGA complex|chromatin organization|chromatin remodeling|regulation of transcription by RNA polymerase II|nucleus|ADA complex|SLIK (SAGA-like) complex,https://www.uniprot.org/uniprotkb/P32494
P32772,NA,NA,https://www.uniprot.org/uniprotkb/P32772
P32794,GO:0034214|GO:0016887|GO:0005737|GO:0030687|GO:0005524|GO:0042273|GO:0009410,"protein hexamerization|ATP hydrolysis activity|cytoplasm|preribosome, large subunit precursor|ATP binding|ribosomal large subunit biogenesis|response to xenobiotic stimulus",https://www.uniprot.org/uniprotkb/P32794
P32838,GO:0061509|GO:0090443|GO:0004722|GO:1901525|GO:0005741|GO:0005737|GO:0005634|GO:0005977|GO:0017018|GO:0046872,asymmetric protein localization to old mitotic spindle pole body|FAR/SIN/STRIPAK complex|protein serine/threonine phosphatase activity|negative regulation of mitophagy|mitochondrial outer membrane|cytoplasm|nucleus|glycogen metabolic process|myosin phosphatase activity|metal ion binding,https://www.uniprot.org/uniprotkb/P32838
P32913,GO:0012505|GO:0006886|GO:0042147|GO:0005768|GO:0005829|GO:0030905|GO:0030904|GO:0032456|GO:0032266,"endomembrane system|intracellular protein transport|retrograde transport, endosome to Golgi|endosome|cytosol|retromer, tubulation complex|retromer complex|endocytic recycling|phosphatidylinositol-3-phosphate binding",https://www.uniprot.org/uniprotkb/P32913
P33203,GO:0003723|GO:0071004|GO:0000395|GO:0000243|GO:0000398|GO:0005634|GO:0005681|GO:0005685,"RNA binding|U2-type prespliceosome|mRNA 5'-splice site recognition|commitment complex|mRNA splicing, via spliceosome|nucleus|spliceosomal complex|U1 snRNP",https://www.uniprot.org/uniprotkb/P33203
P33312,GO:0009231|GO:0050661|GO:0008703,riboflavin biosynthetic process|NADP binding|5-amino-6-(5-phosphoribosylamino)uracil reductase activity,https://www.uniprot.org/uniprotkb/P33312
P33748,GO:0034198|GO:0071243|GO:0034224|GO:0071361|GO:0000987|GO:0000981|GO:0061433|GO:0006995|GO:0070301|GO:0070417|GO:0042149|GO:0005737|GO:0045944|GO:0006338|GO:0006357|GO:0005634|GO:0042594|GO:0005829|GO:1902075|GO:0034605|GO:0071497|GO:0071476|GO:0071464|GO:0071468|GO:0071469|GO:0071500|GO:0046872,"cellular response to amino acid starvation|cellular response to arsenic-containing substance|cellular response to zinc ion starvation|cellular response to ethanol|cis-regulatory region sequence-specific DNA binding|DNA-binding transcription factor activity, RNA polymerase II-specific|cellular response to caloric restriction|cellular response to nitrogen starvation|cellular response to hydrogen peroxide|cellular response to cold|cellular response to glucose starvation|cytoplasm|positive regulation of transcription by RNA polymerase II|chromatin remodeling|regulation of transcription by RNA polymerase II|nucleus|response to starvation|cytosol|cellular response to salt|cellular response to heat|cellular response to freezing|cellular hypotonic response|cellular response to hydrostatic pressure|cellular response to acidic pH|cellular response to alkaline pH|cellular response to nitrosative stress|metal ion binding",https://www.uniprot.org/uniprotkb/P33748
P34072,GO:0006808|GO:0031930|GO:2000220|GO:0000122|GO:0005737|GO:0005634,regulation of nitrogen utilization|mitochondria-nucleus signaling pathway|regulation of pseudohyphal growth|negative regulation of transcription by RNA polymerase II|cytoplasm|nucleus,https://www.uniprot.org/uniprotkb/P34072
P35719,GO:0005737,cytoplasm,https://www.uniprot.org/uniprotkb/P35719
P36022,GO:0000741|GO:0051959|GO:0000235|GO:0000070|GO:0016887|GO:0000132|GO:0005737|GO:0031122|GO:0030473|GO:0040001|GO:0008569|GO:0045505|GO:0005868|GO:0005881|GO:0005816|GO:0005524|GO:0005938|GO:0007052|GO:0007097,karyogamy|dynein light intermediate chain binding|astral microtubule|mitotic sister chromatid segregation|ATP hydrolysis activity|establishment of mitotic spindle orientation|cytoplasm|cytoplasmic microtubule organization|nuclear migration along microtubule|establishment of mitotic spindle localization|minus-end-directed microtubule motor activity|dynein intermediate chain binding|cytoplasmic dynein complex|cytoplasmic microtubule|spindle pole body|ATP binding|cell cortex|mitotic spindle organization|nuclear migration,https://www.uniprot.org/uniprotkb/P36022
P37298,GO:0048039|GO:0045333|GO:0005749|GO:0005743|GO:0005739|GO:0042776|GO:0006121|GO:0006099|GO:0020037|GO:0046872,"ubiquinone binding|cellular respiration|obsolete mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)|mitochondrial inner membrane|mitochondrion|proton motive force-driven mitochondrial ATP synthesis|mitochondrial electron transport, succinate to ubiquinone|tricarboxylic acid cycle|heme binding|metal ion binding",https://www.uniprot.org/uniprotkb/P37298
P38187,GO:0006508|GO:0004843|GO:0005634|GO:0005829|GO:0010995,proteolysis|cysteine-type deubiquitinase activity|nucleus|cytosol|free ubiquitin chain depolymerization,https://www.uniprot.org/uniprotkb/P38187
P38220,GO:0016020,membrane,https://www.uniprot.org/uniprotkb/P38220
P38228,GO:0051131|GO:0051087|GO:0006457|GO:0051082|GO:0045041|GO:0005759|GO:0005743|GO:0005739|GO:0042026|GO:0140662|GO:0008637|GO:0005524|GO:0034514|GO:0034553,chaperone-mediated protein complex assembly|protein-folding chaperone binding|protein folding|unfolded protein binding|protein import into mitochondrial intermembrane space|mitochondrial matrix|mitochondrial inner membrane|mitochondrion|protein refolding|ATP-dependent protein folding chaperone|apoptotic mitochondrial changes|ATP binding|mitochondrial unfolded protein response|mitochondrial respiratory chain complex II assembly,https://www.uniprot.org/uniprotkb/P38228
P38256,GO:0016740|GO:0005783,transferase activity|endoplasmic reticulum,https://www.uniprot.org/uniprotkb/P38256
P38697,GO:0003729|GO:0006177|GO:0006183|GO:0000166|GO:0005737|GO:0003682|GO:0003938|GO:0000785|GO:0046872,mRNA binding|GMP biosynthetic process|GTP biosynthetic process|nucleotide binding|cytoplasm|chromatin binding|IMP dehydrogenase activity|chromatin|metal ion binding,https://www.uniprot.org/uniprotkb/P38697
P38759,GO:0012505|GO:0006886|GO:0042147|GO:0005768|GO:0005829|GO:0030906|GO:0030904|GO:0032456,"endomembrane system|intracellular protein transport|retrograde transport, endosome to Golgi|endosome|cytosol|retromer, cargo-selective complex|retromer complex|endocytic recycling",https://www.uniprot.org/uniprotkb/P38759
P38769,GO:0006886|GO:0090110|GO:0070971|GO:0008270|GO:0030127|GO:0005634|GO:0005096|GO:0005829,intracellular protein transport|COPII-coated vesicle cargo loading|endoplasmic reticulum exit site|zinc ion binding|COPII vesicle coat|nucleus|GTPase activator activity|cytosol,https://www.uniprot.org/uniprotkb/P38769
P38794,GO:0031647|GO:0000307|GO:0016538|GO:0016242|GO:0051301|GO:0005634|GO:0019901,regulation of protein stability|cyclin-dependent protein kinase holoenzyme complex|cyclin-dependent protein serine/threonine kinase regulator activity|negative regulation of macroautophagy|cell division|nucleus|protein kinase binding,https://www.uniprot.org/uniprotkb/P38794
P38833,GO:0000022|GO:0003676|GO:0005634,mitotic spindle elongation|nucleic acid binding|nucleus,https://www.uniprot.org/uniprotkb/P38833
P38969,GO:0005743|GO:0005739|GO:0032979|GO:0046677,mitochondrial inner membrane|mitochondrion|protein insertion into mitochondrial inner membrane from matrix|response to antibiotic,https://www.uniprot.org/uniprotkb/P38969
P40034,GO:0003712|GO:0051864|GO:0035064|GO:0006357|GO:0005634|GO:0140680|GO:0032968|GO:0032452|GO:0046872,transcription coregulator activity|histone H3K36 demethylase activity|methylated histone binding|regulation of transcription by RNA polymerase II|nucleus|histone H3K36me/H3K36me2 demethylase activity|positive regulation of transcription elongation by RNA polymerase II|histone demethylase activity|metal ion binding,https://www.uniprot.org/uniprotkb/P40034
P40155,GO:1990429|GO:0016560|GO:0005778,"peroxisomal importomer complex|protein import into peroxisome matrix, docking|peroxisomal membrane",https://www.uniprot.org/uniprotkb/P40155
P40345,GO:0006672|GO:0046027|GO:0008374|GO:0097038|GO:0005737|GO:0005789|GO:0005783|GO:0005637|GO:0055091|GO:0005811|GO:0019915|GO:0019432,ceramide metabolic process|phospholipid:diacylglycerol acyltransferase activity|O-acyltransferase activity|perinuclear endoplasmic reticulum|cytoplasm|endoplasmic reticulum membrane|endoplasmic reticulum|nuclear inner membrane|phospholipid homeostasis|lipid droplet|lipid storage|triglyceride biosynthetic process,https://www.uniprot.org/uniprotkb/P40345
P40472,GO:0009277|GO:0000272|GO:0031505|GO:0016798|GO:0005783|GO:0005576|GO:0009986,"fungal-type cell wall|polysaccharide catabolic process|fungal-type cell wall organization|hydrolase activity, acting on glycosyl bonds|endoplasmic reticulum|extracellular region|cell surface",https://www.uniprot.org/uniprotkb/P40472
P40993,GO:0000460|GO:0004518|GO:0006397|GO:0008033|GO:0000172|GO:0042134|GO:0006364|GO:0005655|GO:0030541,maturation of 5.8S rRNA|nuclease activity|mRNA processing|tRNA processing|ribonuclease MRP complex|rRNA primary transcript binding|rRNA processing|nucleolar ribonuclease P complex|plasmid partitioning,https://www.uniprot.org/uniprotkb/P40993
P46670,GO:0006457|GO:0036094|GO:0060090|GO:0005737|GO:0005096|GO:0005874|GO:0007021|GO:0007023,protein folding|small molecule binding|molecular adaptor activity|cytoplasm|GTPase activator activity|microtubule|tubulin complex assembly|post-chaperonin tubulin folding pathway,https://www.uniprot.org/uniprotkb/P46670
P47042,GO:0004672|GO:0004674|GO:0106310|GO:0005737|GO:0005634|GO:0005524,protein kinase activity|protein serine/threonine kinase activity|protein serine kinase activity|cytoplasm|nucleus|ATP binding,https://www.uniprot.org/uniprotkb/P47042
P47131,GO:0016020|GO:0005739,membrane|mitochondrion,https://www.uniprot.org/uniprotkb/P47131
P47172,GO:0031624|GO:0061630|GO:0051865|GO:0000209|GO:0006513|GO:0031442|GO:0031397|GO:0000151|GO:0043161|GO:0005634|GO:0005829|GO:0030332,ubiquitin conjugating enzyme binding|ubiquitin protein ligase activity|protein autoubiquitination|protein polyubiquitination|protein monoubiquitination|positive regulation of mRNA 3'-end processing|negative regulation of protein ubiquitination|ubiquitin ligase complex|proteasome-mediated ubiquitin-dependent protein catabolic process|nucleus|cytosol|cyclin binding,https://www.uniprot.org/uniprotkb/P47172
P50091,GO:0062137|GO:0016558|GO:0005737|GO:0005778|GO:0005777|GO:0005829|GO:0140597,cargo receptor complex|protein import into peroxisome matrix|cytoplasm|peroxisomal membrane|peroxisome|cytosol|protein carrier chaperone,https://www.uniprot.org/uniprotkb/P50091
P50110,GO:0001401|GO:0070096|GO:0045040|GO:0030150|GO:0005741|GO:0005737|GO:0005739|GO:0015914|GO:0007005,SAM complex|mitochondrial outer membrane translocase complex assembly|protein insertion into mitochondrial outer membrane|protein import into mitochondrial matrix|mitochondrial outer membrane|cytoplasm|mitochondrion|phospholipid transport|mitochondrion organization,https://www.uniprot.org/uniprotkb/P50110
P50945,GO:0061617|GO:0043933|GO:0005743|GO:0005739|GO:0042407|GO:0044284,MICOS complex|protein-containing complex organization|mitochondrial inner membrane|mitochondrion|cristae formation|mitochondrial crista junction,https://www.uniprot.org/uniprotkb/P50945
P51862,GO:0043332|GO:0060237|GO:0045807|GO:1903501|GO:0000131|GO:0005634|GO:0005085|GO:0030010|GO:0005546|GO:0005934|GO:0007264|GO:0071944,"mating projection tip|regulation of fungal-type cell wall organization|positive regulation of endocytosis|positive regulation of mitotic actomyosin contractile ring assembly|incipient cellular bud site|nucleus|guanyl-nucleotide exchange factor activity|establishment of cell polarity|phosphatidylinositol-4,5-bisphosphate binding|cellular bud tip|small GTPase-mediated signal transduction|cell periphery",https://www.uniprot.org/uniprotkb/P51862
P53058,GO:0005783|GO:0005829|GO:0071944,endoplasmic reticulum|cytosol|cell periphery,https://www.uniprot.org/uniprotkb/P53058
P53071,NA,NA,https://www.uniprot.org/uniprotkb/P53071
P53101,GO:0009086|GO:0071266|GO:0016846|GO:0047804|GO:0030170|GO:0005737|GO:0005777|GO:0005634|GO:0019346,methionine biosynthetic process|'de novo' L-methionine biosynthetic process|carbon-sulfur lyase activity|cysteine-S-conjugate beta-lyase activity|pyridoxal phosphate binding|cytoplasm|peroxisome|nucleus|transsulfuration,https://www.uniprot.org/uniprotkb/P53101
P53147,GO:0000978|GO:0000981|GO:0003682|GO:0006357|GO:0005634|GO:0000785,"RNA polymerase II cis-regulatory region sequence-specific DNA binding|DNA-binding transcription factor activity, RNA polymerase II-specific|chromatin binding|regulation of transcription by RNA polymerase II|nucleus|chromatin",https://www.uniprot.org/uniprotkb/P53147
P53259,GO:0004252|GO:0006465|GO:0005743|GO:0010821,serine-type endopeptidase activity|signal peptide processing|mitochondrial inner membrane|regulation of mitochondrion organization,https://www.uniprot.org/uniprotkb/P53259
P53261,GO:0003723|GO:0003729|GO:0000463|GO:0000462|GO:0000466|GO:0070180|GO:0005730|GO:0006364|GO:0005634|GO:0005654|GO:0030687|GO:0070545|GO:0042273|GO:0043021,"RNA binding|mRNA binding|maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)|maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)|maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)|large ribosomal subunit rRNA binding|nucleolus|rRNA processing|nucleus|nucleoplasm|preribosome, large subunit precursor|PeBoW complex|ribosomal large subunit biogenesis|ribonucleoprotein complex binding",https://www.uniprot.org/uniprotkb/P53261
P53538,GO:0031564|GO:0001174|GO:0009302|GO:0004722|GO:0004721|GO:0004725|GO:0008420|GO:0031124|GO:0006369|GO:0006367|GO:0006368|GO:0005634|GO:0005847|GO:0030846|GO:0030847|GO:0017018,"transcription antitermination|transcriptional start site selection at RNA polymerase II promoter|sno(s)RNA transcription|protein serine/threonine phosphatase activity|phosphoprotein phosphatase activity|protein tyrosine phosphatase activity|RNA polymerase II CTD heptapeptide repeat phosphatase activity|mRNA 3'-end processing|termination of RNA polymerase II transcription|transcription initiation at RNA polymerase II promoter|transcription elongation by RNA polymerase II|nucleus|mRNA cleavage and polyadenylation specificity factor complex|termination of RNA polymerase II transcription, poly(A)-coupled|termination of RNA polymerase II transcription, exosome-dependent|myosin phosphatase activity",https://www.uniprot.org/uniprotkb/P53538
P53754,NA,NA,https://www.uniprot.org/uniprotkb/P53754
P53759,GO:0102262|GO:0102263|GO:0006400|GO:0006397|GO:0050660|GO:0017150|GO:0005634,tRNA-dihydrouridine16 synthase activity|tRNA-dihydrouridine17 synthase activity|tRNA modification|mRNA processing|flavin adenine dinucleotide binding|tRNA dihydrouridine synthase activity|nucleus,https://www.uniprot.org/uniprotkb/P53759
P53835,GO:0000324|GO:0043332|GO:0005886|GO:0032220,fungal-type vacuole|mating projection tip|plasma membrane|plasma membrane fusion involved in cytogamy,https://www.uniprot.org/uniprotkb/P53835
P53921,GO:0003735|GO:0005762|GO:0005743|GO:0005739|GO:0015934|GO:0032543,structural constituent of ribosome|mitochondrial large ribosomal subunit|mitochondrial inner membrane|mitochondrion|large ribosomal subunit|mitochondrial translation,https://www.uniprot.org/uniprotkb/P53921
