Protein ID,GO ID,Function,Link
A0A2T0I9A7,GO:0016020|GO:0015772|GO:0015288,membrane|oligosaccharide transport|porin activity,https://www.uniprot.org/uniprotkb/A0A2T0I9A7
A0A5E6XWA7,GO:0015105|GO:0015104|GO:0005886|GO:0015297,arsenite transmembrane transporter activity|antimonite transmembrane transporter activity|plasma membrane|antiporter activity,https://www.uniprot.org/uniprotkb/A0A5E6XWA7
A0A109L380,NA,NA,https://www.uniprot.org/uniprotkb/A0A109L380
A0A5E6P3P8,GO:0005829|GO:0003959|GO:0010181,cytosol|NADPH dehydrogenase activity|FMN binding,https://www.uniprot.org/uniprotkb/A0A5E6P3P8
A0A2T0I9D4,GO:0016121|GO:0045549|GO:0046872,carotene catabolic process|9-cis-epoxycarotenoid dioxygenase activity|metal ion binding,https://www.uniprot.org/uniprotkb/A0A2T0I9D4
A0A423LG04,GO:0003700|GO:0003677|GO:0005829,DNA-binding transcription factor activity|DNA binding|cytosol,https://www.uniprot.org/uniprotkb/A0A423LG04
A0A4U3G1Z7,GO:0016829|GO:0046872,lyase activity|metal ion binding,https://www.uniprot.org/uniprotkb/A0A4U3G1Z7
A0A0F4TDA0,GO:0016020|GO:0016491,membrane|oxidoreductase activity,https://www.uniprot.org/uniprotkb/A0A0F4TDA0
A0A5E7UL76,GO:0016020|GO:0035879|GO:0015355,membrane|plasma membrane lactate transport|secondary active monocarboxylate transmembrane transporter activity,https://www.uniprot.org/uniprotkb/A0A5E7UL76
A0A109LIE3,NA,NA,https://www.uniprot.org/uniprotkb/A0A109LIE3
A0A125QFT7,GO:0016020,membrane,https://www.uniprot.org/uniprotkb/A0A125QFT7
A0A2T0I9C7,GO:0016020|GO:0035879|GO:0015355,membrane|plasma membrane lactate transport|secondary active monocarboxylate transmembrane transporter activity,https://www.uniprot.org/uniprotkb/A0A2T0I9C7
A0A5E7HE15,GO:0004038|GO:0006145|GO:0005737,allantoinase activity|purine nucleobase catabolic process|cytoplasm,https://www.uniprot.org/uniprotkb/A0A5E7HE15
A0A1X9LY06,GO:0000949|GO:0000287|GO:0004737|GO:0005829|GO:0030976,aromatic amino acid family catabolic process to alcohol via Ehrlich pathway|magnesium ion binding|pyruvate decarboxylase activity|cytosol|thiamine pyrophosphate binding,https://www.uniprot.org/uniprotkb/A0A1X9LY06
A0A5E6XRY4,GO:0008324|GO:0005886|GO:0042910,monoatomic cation transmembrane transporter activity|plasma membrane|xenobiotic transmembrane transporter activity,https://www.uniprot.org/uniprotkb/A0A5E6XRY4
A0A1X9LUQ1,GO:0009396|GO:0008153|GO:0005737|GO:0046820,folic acid-containing compound biosynthetic process|para-aminobenzoic acid biosynthetic process|cytoplasm|4-amino-4-deoxychorismate synthase activity,https://www.uniprot.org/uniprotkb/A0A1X9LUQ1
A0A5E6TK01,GO:0003677|GO:0006310|GO:0015074,DNA binding|DNA recombination|DNA integration,https://www.uniprot.org/uniprotkb/A0A5E6TK01
A0A5E7FXS5,GO:0004029|GO:0043878,aldehyde dehydrogenase (NAD+) activity|glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity,https://www.uniprot.org/uniprotkb/A0A5E7FXS5
A0A5E7HEL7,GO:0016813|GO:0050538|GO:0046872,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines|N-carbamoyl-L-amino-acid hydrolase activity|metal ion binding",https://www.uniprot.org/uniprotkb/A0A5E7HEL7
A0A0N9VWJ7,NA,NA,https://www.uniprot.org/uniprotkb/A0A0N9VWJ7
A0A075PFM6,GO:0006808|GO:0005829|GO:0005524|GO:0030234,regulation of nitrogen utilization|cytosol|ATP binding|enzyme regulator activity,https://www.uniprot.org/uniprotkb/A0A075PFM6
A0A120G2C1,NA,NA,https://www.uniprot.org/uniprotkb/A0A120G2C1
A0A0N9XGL1,GO:0003700|GO:0006950,DNA-binding transcription factor activity|response to stress,https://www.uniprot.org/uniprotkb/A0A0N9XGL1
A0A2T0I9I0,GO:0018669|GO:0016020|GO:0071949,3-hydroxybenzoate 6-monooxygenase activity|membrane|FAD binding,https://www.uniprot.org/uniprotkb/A0A2T0I9I0
A0A5E7RFK4,GO:0045439,isopenicillin-N epimerase activity,https://www.uniprot.org/uniprotkb/A0A5E7RFK4
A0A5E7RH59,GO:0009279|GO:0015344,cell outer membrane|siderophore uptake transmembrane transporter activity,https://www.uniprot.org/uniprotkb/A0A5E7RH59
A0A5E6SW62,GO:0003677|GO:0006310|GO:0015074,DNA binding|DNA recombination|DNA integration,https://www.uniprot.org/uniprotkb/A0A5E6SW62
A0A5E6VKC7,GO:0005886|GO:0030428|GO:0043093|GO:0032153,plasma membrane|cell septum|FtsZ-dependent cytokinesis|cell division site,https://www.uniprot.org/uniprotkb/A0A5E6VKC7
A0A5E7RVJ1,GO:0005737|GO:0006105,cytoplasm|succinate metabolic process,https://www.uniprot.org/uniprotkb/A0A5E7RVJ1
A0A109L1A2,GO:0016020,membrane,https://www.uniprot.org/uniprotkb/A0A109L1A2
A0A0D0RQF1,NA,NA,https://www.uniprot.org/uniprotkb/A0A0D0RQF1
A0A0B7D5S0,GO:0009007|GO:0008170|GO:0003677|GO:0032259,site-specific DNA-methyltransferase (adenine-specific) activity|N-methyltransferase activity|DNA binding|methylation,https://www.uniprot.org/uniprotkb/A0A0B7D5S0
A0A125QCA8,NA,NA,https://www.uniprot.org/uniprotkb/A0A125QCA8
A0A5E6XFM0,GO:0031992|GO:0098797|GO:0015031|GO:0055085,energy transducer activity|plasma membrane protein complex|protein transport|transmembrane transport,https://www.uniprot.org/uniprotkb/A0A5E6XFM0
A0A2T0I9H1,GO:0016020,membrane,https://www.uniprot.org/uniprotkb/A0A2T0I9H1
A0A109KZ11,GO:0005829|GO:0019239,cytosol|deaminase activity,https://www.uniprot.org/uniprotkb/A0A109KZ11
A0A0D0SWK2,GO:0003735|GO:0006412|GO:0022625,structural constituent of ribosome|translation|cytosolic large ribosomal subunit,https://www.uniprot.org/uniprotkb/A0A0D0SWK2
A0A379IJN7,GO:0016887|GO:0006260|GO:0005524,ATP hydrolysis activity|DNA replication|ATP binding,https://www.uniprot.org/uniprotkb/A0A379IJN7
A0A4U3G0N9,GO:0000257|GO:0018822|GO:0051410,nitrilase activity|nitrile hydratase activity|detoxification of nitrogen compound,https://www.uniprot.org/uniprotkb/A0A4U3G0N9
A0A5E7A7D3,GO:0008519|GO:0005886,ammonium channel activity|plasma membrane,https://www.uniprot.org/uniprotkb/A0A5E7A7D3
A0A5E7G0G2,GO:0043565|GO:0016887|GO:0006355|GO:0005524,sequence-specific DNA binding|ATP hydrolysis activity|regulation of DNA-templated transcription|ATP binding,https://www.uniprot.org/uniprotkb/A0A5E7G0G2
A0A0C1ZYW1,GO:0003723|GO:0043487|GO:0045974|GO:0006355|GO:0005829,"RNA binding|regulation of RNA stability|regulation of translation, ncRNA-mediated|regulation of DNA-templated transcription|cytosol",https://www.uniprot.org/uniprotkb/A0A0C1ZYW1
A0A125QI05,NA,NA,https://www.uniprot.org/uniprotkb/A0A125QI05
A0A0B7D908,GO:0043565|GO:0003700|GO:0006351,sequence-specific DNA binding|DNA-binding transcription factor activity|DNA-templated transcription,https://www.uniprot.org/uniprotkb/A0A0B7D908
A0A1X9LUR0,GO:0004049|GO:0006541|GO:0000162|GO:0005829|GO:0046654|GO:0046820,anthranilate synthase activity|glutamine metabolic process|tryptophan biosynthetic process|cytosol|tetrahydrofolate biosynthetic process|4-amino-4-deoxychorismate synthase activity,https://www.uniprot.org/uniprotkb/A0A1X9LUR0
A0A0C1WP03,GO:0009055|GO:0043448|GO:0005737|GO:0005506,electron transfer activity|alkane catabolic process|cytoplasm|iron ion binding,https://www.uniprot.org/uniprotkb/A0A0C1WP03
A0A4Y9TNV4,GO:0016020,membrane,https://www.uniprot.org/uniprotkb/A0A4Y9TNV4
A0A5E6VPT7,GO:0016020|GO:0006874|GO:0008273|GO:0005262,"membrane|intracellular calcium ion homeostasis|calcium, potassium:sodium antiporter activity|calcium channel activity",https://www.uniprot.org/uniprotkb/A0A5E6VPT7
A0A125QFT3,GO:0043565|GO:0003700|GO:0006351,sequence-specific DNA binding|DNA-binding transcription factor activity|DNA-templated transcription,https://www.uniprot.org/uniprotkb/A0A125QFT3
A0A125QIQ2,GO:0004674|GO:0003677|GO:0005829,protein serine/threonine kinase activity|DNA binding|cytosol,https://www.uniprot.org/uniprotkb/A0A125QIQ2
A0A0D0TH54,NA,NA,https://www.uniprot.org/uniprotkb/A0A0D0TH54
A0A4Y9TI40,GO:0043565|GO:0003700,sequence-specific DNA binding|DNA-binding transcription factor activity,https://www.uniprot.org/uniprotkb/A0A4Y9TI40
A0A159ZUT2,GO:0075713|GO:0044826|GO:0003677|GO:0006310|GO:0015074|GO:0046718,establishment of integrated proviral latency|viral genome integration into host DNA|DNA binding|DNA recombination|DNA integration|symbiont entry into host cell,https://www.uniprot.org/uniprotkb/A0A159ZUT2
A0A2T0I9D6,GO:0003861|GO:0009098|GO:0051539|GO:0046872,"3-isopropylmalate dehydratase activity|L-leucine biosynthetic process|4 iron, 4 sulfur cluster binding|metal ion binding",https://www.uniprot.org/uniprotkb/A0A2T0I9D6
A0A1T2Z9X1,GO:0006865|GO:0005886|GO:0022857,amino acid transport|plasma membrane|transmembrane transporter activity,https://www.uniprot.org/uniprotkb/A0A1T2Z9X1
A0A423NA96,GO:0003700|GO:0000976|GO:0008270|GO:0045892|GO:0005829|GO:1900705,DNA-binding transcription factor activity|transcription cis-regulatory region binding|zinc ion binding|negative regulation of DNA-templated transcription|cytosol|negative regulation of siderophore biosynthetic process,https://www.uniprot.org/uniprotkb/A0A423NA96
A0A0C1WWJ8,GO:0051536|GO:0046872,iron-sulfur cluster binding|metal ion binding,https://www.uniprot.org/uniprotkb/A0A0C1WWJ8
A0A5E7FKG1,GO:0003677|GO:0006310|GO:0015074|GO:0046718,DNA binding|DNA recombination|DNA integration|symbiont entry into host cell,https://www.uniprot.org/uniprotkb/A0A5E7FKG1
A0A448DJ93,GO:0036211|GO:0006412|GO:0005737|GO:0018169|GO:0005840|GO:0005524|GO:0009432|GO:0046872,protein modification process|translation|cytoplasm|ribosomal S6-glutamic acid ligase activity|ribosome|ATP binding|SOS response|metal ion binding,https://www.uniprot.org/uniprotkb/A0A448DJ93
A0A0D0SMD2,GO:0016020,membrane,https://www.uniprot.org/uniprotkb/A0A0D0SMD2
A0A5E6XT61,GO:0015562,efflux transmembrane transporter activity,https://www.uniprot.org/uniprotkb/A0A5E6XT61
A0A4Y9TNR5,NA,NA,https://www.uniprot.org/uniprotkb/A0A4Y9TNR5
A0A5E6VIS0,GO:0008709|GO:0005829,cholate 7-alpha-dehydrogenase activity|cytosol,https://www.uniprot.org/uniprotkb/A0A5E6VIS0
A0A4Y9TP20,GO:0016787,hydrolase activity,https://www.uniprot.org/uniprotkb/A0A4Y9TP20
A0A5E7G1D4,GO:0005886|GO:0022857,plasma membrane|transmembrane transporter activity,https://www.uniprot.org/uniprotkb/A0A5E7G1D4
Q56G35,GO:0009058|GO:0102943|GO:0005737,"biosynthetic process|trans-2,3-dihydro-3-hydroxy-anthranilate isomerase activity|cytoplasm",https://www.uniprot.org/uniprotkb/Q56G35
A0A5E6XU11,GO:0000976|GO:0000156|GO:0006355|GO:0005829|GO:0032993,transcription cis-regulatory region binding|phosphorelay response regulator activity|regulation of DNA-templated transcription|cytosol|protein-DNA complex,https://www.uniprot.org/uniprotkb/A0A5E6XU11
A0A4Y9TI88,GO:0015184|GO:0005886,L-cystine transmembrane transporter activity|plasma membrane,https://www.uniprot.org/uniprotkb/A0A4Y9TI88
A0A166NTM2,GO:0003729|GO:0003735|GO:0006412|GO:0022625,mRNA binding|structural constituent of ribosome|translation|cytosolic large ribosomal subunit,https://www.uniprot.org/uniprotkb/A0A166NTM2
A0A120G2D1,GO:0004020|GO:0000103|GO:0070814|GO:0005524|GO:0050428,adenylylsulfate kinase activity|sulfate assimilation|hydrogen sulfide biosynthetic process|ATP binding|3'-phosphoadenosine 5'-phosphosulfate biosynthetic process,https://www.uniprot.org/uniprotkb/A0A120G2D1
A0A0B7DFZ0,GO:0016020|GO:0006935|GO:0016740|GO:0007165,membrane|chemotaxis|transferase activity|signal transduction,https://www.uniprot.org/uniprotkb/A0A0B7DFZ0
A0A5E7FS65,GO:0016301,kinase activity,https://www.uniprot.org/uniprotkb/A0A5E7FS65
A0A0C1WRF5,GO:0016020,membrane,https://www.uniprot.org/uniprotkb/A0A0C1WRF5
A0A5E7SY03,GO:0016791|GO:0005737,phosphatase activity|cytoplasm,https://www.uniprot.org/uniprotkb/A0A5E7SY03
A0A5E6XY14,GO:0004803|GO:0003677|GO:0006313|GO:0015074|GO:0005829,transposase activity|DNA binding|DNA transposition|DNA integration|cytosol,https://www.uniprot.org/uniprotkb/A0A5E6XY14
A0A5E6TIM3,GO:0010027,thylakoid membrane organization,https://www.uniprot.org/uniprotkb/A0A5E6TIM3
A0A2T0I9D7,GO:0018773|GO:0046872,acetylpyruvate hydrolase activity|metal ion binding,https://www.uniprot.org/uniprotkb/A0A2T0I9D7
A0A5E6QGJ1,GO:0003700|GO:0003677|GO:0005829,DNA-binding transcription factor activity|DNA binding|cytosol,https://www.uniprot.org/uniprotkb/A0A5E6QGJ1
A0A109KPP6,NA,NA,https://www.uniprot.org/uniprotkb/A0A109KPP6
A0A5E7CWU3,GO:0008168|GO:0003676|GO:0032259,methyltransferase activity|nucleic acid binding|methylation,https://www.uniprot.org/uniprotkb/A0A5E7CWU3
A0A4Y9TNU4,GO:0016020,membrane,https://www.uniprot.org/uniprotkb/A0A4Y9TNU4
A0A5E6W399,GO:0016020,membrane,https://www.uniprot.org/uniprotkb/A0A5E6W399
A0A0F4TX33,GO:0003700|GO:0000976|GO:0008270|GO:0045892|GO:0005829|GO:1900705,DNA-binding transcription factor activity|transcription cis-regulatory region binding|zinc ion binding|negative regulation of DNA-templated transcription|cytosol|negative regulation of siderophore biosynthetic process,https://www.uniprot.org/uniprotkb/A0A0F4TX33
A0A5E7AA33,GO:0004017|GO:0004550|GO:0004127|GO:0006225|GO:0043227|GO:0033862|GO:0005829|GO:0005524|GO:0046705|GO:0044209,adenylate kinase activity|nucleoside diphosphate kinase activity|(d)CMP kinase activity|UDP biosynthetic process|membrane-bounded organelle|UMP kinase activity|cytosol|ATP binding|CDP biosynthetic process|AMP salvage,https://www.uniprot.org/uniprotkb/A0A5E7AA33
A0A4U3G5C2,NA,NA,https://www.uniprot.org/uniprotkb/A0A4U3G5C2
A0A0D0SXD3,GO:0006508|GO:0016491|GO:0008233|GO:0030163,proteolysis|oxidoreductase activity|peptidase activity|protein catabolic process,https://www.uniprot.org/uniprotkb/A0A0D0SXD3
A0A423LTH9,GO:0009318|GO:0008855|GO:0006308|GO:0005829,exodeoxyribonuclease VII complex|exodeoxyribonuclease VII activity|DNA catabolic process|cytosol,https://www.uniprot.org/uniprotkb/A0A423LTH9
A0A109LGG6,GO:0003676|GO:0005829|GO:0010468,nucleic acid binding|cytosol|regulation of gene expression,https://www.uniprot.org/uniprotkb/A0A109LGG6
A0A5E6U0F4,GO:0005886|GO:0022857,plasma membrane|transmembrane transporter activity,https://www.uniprot.org/uniprotkb/A0A5E6U0F4
A0A379IJS1,GO:0015562|GO:1990281|GO:0015288,efflux transmembrane transporter activity|efflux pump complex|porin activity,https://www.uniprot.org/uniprotkb/A0A379IJS1
A0A2T0I9C3,GO:0003861|GO:0009098|GO:0009316,3-isopropylmalate dehydratase activity|L-leucine biosynthetic process|3-isopropylmalate dehydratase complex,https://www.uniprot.org/uniprotkb/A0A2T0I9C3
Q56G39,GO:0017000,antibiotic biosynthetic process,https://www.uniprot.org/uniprotkb/Q56G39
A0A109LLP0,GO:0000329|GO:0015174,fungal-type vacuole membrane|basic amino acid transmembrane transporter activity,https://www.uniprot.org/uniprotkb/A0A109LLP0
A0A5E6ZN41,GO:0015889|GO:0009279|GO:0015344,cobalamin transport|cell outer membrane|siderophore uptake transmembrane transporter activity,https://www.uniprot.org/uniprotkb/A0A5E6ZN41
A0A5E7EZ55,GO:0016020|GO:0015772|GO:0015288,membrane|oligosaccharide transport|porin activity,https://www.uniprot.org/uniprotkb/A0A5E7EZ55
A0A379IL63,GO:0016020|GO:0030288|GO:0046914|GO:0022857,membrane|outer membrane-bounded periplasmic space|transition metal ion binding|transmembrane transporter activity,https://www.uniprot.org/uniprotkb/A0A379IL63
A0A109LJX4,GO:0016020,membrane,https://www.uniprot.org/uniprotkb/A0A109LJX4
A0A5E6ZRS5,GO:0003700|GO:0000976,DNA-binding transcription factor activity|transcription cis-regulatory region binding,https://www.uniprot.org/uniprotkb/A0A5E6ZRS5
A0A0C2A6F6,GO:0045454|GO:0015035|GO:0005829,cell redox homeostasis|protein-disulfide reductase activity|cytosol,https://www.uniprot.org/uniprotkb/A0A0C2A6F6
A0A109KUI8,GO:0009097|GO:0009099|GO:0000287|GO:0004160|GO:0051537|GO:0005829,"isoleucine biosynthetic process|valine biosynthetic process|magnesium ion binding|dihydroxy-acid dehydratase activity|2 iron, 2 sulfur cluster binding|cytosol",https://www.uniprot.org/uniprotkb/A0A109KUI8
Q56G40,GO:0017000,antibiotic biosynthetic process,https://www.uniprot.org/uniprotkb/Q56G40
A0A109L856,NA,NA,https://www.uniprot.org/uniprotkb/A0A109L856
A0A109LF02,NA,NA,https://www.uniprot.org/uniprotkb/A0A109LF02
A0A2T0IBM5,GO:0003677,DNA binding,https://www.uniprot.org/uniprotkb/A0A2T0IBM5
A0A5E7SFU2,NA,NA,https://www.uniprot.org/uniprotkb/A0A5E7SFU2
A0A0D0SYH6,NA,NA,https://www.uniprot.org/uniprotkb/A0A0D0SYH6
A0A5E7QL14,GO:0004803|GO:0005829|GO:0032196,transposase activity|cytosol|transposition,https://www.uniprot.org/uniprotkb/A0A5E7QL14
A0A109LIR9,GO:0009372|GO:0061579|GO:0007165,quorum sensing|N-acyl homoserine lactone synthase activity|signal transduction,https://www.uniprot.org/uniprotkb/A0A109LIR9
A0A4V5UC42,GO:0016491|GO:0051537,"oxidoreductase activity|2 iron, 2 sulfur cluster binding",https://www.uniprot.org/uniprotkb/A0A4V5UC42
A0A0D0TSD2,GO:0045454|GO:0015035|GO:0005829,cell redox homeostasis|protein-disulfide reductase activity|cytosol,https://www.uniprot.org/uniprotkb/A0A0D0TSD2
A0A109L1B7,GO:0102276|GO:0016706|GO:0009693|GO:0046872,2-oxoglutarate oxygenase/decarboxylase (ethylene-forming) activity|2-oxoglutarate-dependent dioxygenase activity|ethylene biosynthetic process|metal ion binding,https://www.uniprot.org/uniprotkb/A0A109L1B7
A0A2T0I9E8,GO:0003700|GO:0003677|GO:0045892,DNA-binding transcription factor activity|DNA binding|negative regulation of DNA-templated transcription,https://www.uniprot.org/uniprotkb/A0A2T0I9E8
Q6SV44,GO:0006402|GO:0048027|GO:0045948|GO:0045947|GO:0005829|GO:0006109,mRNA catabolic process|mRNA 5'-UTR binding|positive regulation of translational initiation|negative regulation of translational initiation|cytosol|regulation of carbohydrate metabolic process,https://www.uniprot.org/uniprotkb/Q6SV44
A0A109LJQ2,GO:0004595|GO:0005737|GO:0005524|GO:0015937,pantetheine-phosphate adenylyltransferase activity|cytoplasm|ATP binding|coenzyme A biosynthetic process,https://www.uniprot.org/uniprotkb/A0A109LJQ2
A0A5E6U745,GO:0000271|GO:0005886,polysaccharide biosynthetic process|plasma membrane,https://www.uniprot.org/uniprotkb/A0A5E6U745
A0A109KLW6,NA,NA,https://www.uniprot.org/uniprotkb/A0A109KLW6
A0A4Y9TJ34,NA,NA,https://www.uniprot.org/uniprotkb/A0A4Y9TJ34
A0A5E6TGP8,GO:0016020|GO:0016410|GO:0004623|GO:0070292|GO:0005737|GO:0008970,membrane|N-acyltransferase activity|phospholipase A2 activity|N-acylphosphatidylethanolamine metabolic process|cytoplasm|phospholipase A1 activity,https://www.uniprot.org/uniprotkb/A0A5E6TGP8
A0A109KWX7,GO:0016491,oxidoreductase activity,https://www.uniprot.org/uniprotkb/A0A109KWX7
A0A109L882,GO:0016887|GO:0005886|GO:0005524,ATP hydrolysis activity|plasma membrane|ATP binding,https://www.uniprot.org/uniprotkb/A0A109L882
A0A109LEM9,NA,NA,https://www.uniprot.org/uniprotkb/A0A109LEM9
A0A4Y9TJ97,GO:0016887|GO:0005524,ATP hydrolysis activity|ATP binding,https://www.uniprot.org/uniprotkb/A0A4Y9TJ97
A0A1X9LWZ7,GO:0006730|GO:0006565|GO:0004372|GO:0004793|GO:0008270|GO:0050897|GO:0030170|GO:0070905|GO:0005829|GO:0046655|GO:0046653|GO:0019264,one-carbon metabolic process|L-serine catabolic process|glycine hydroxymethyltransferase activity|threonine aldolase activity|zinc ion binding|cobalt ion binding|pyridoxal phosphate binding|serine binding|cytosol|folic acid metabolic process|tetrahydrofolate metabolic process|glycine biosynthetic process from serine,https://www.uniprot.org/uniprotkb/A0A1X9LWZ7
A0A109KIT6,NA,NA,https://www.uniprot.org/uniprotkb/A0A109KIT6
A0A5E7BVF9,GO:0003735|GO:0006412|GO:0022625,structural constituent of ribosome|translation|cytosolic large ribosomal subunit,https://www.uniprot.org/uniprotkb/A0A5E7BVF9
A0A423P322,GO:0034213|GO:0004514|GO:0005737|GO:0009435,quinolinate catabolic process|nicotinate-nucleotide diphosphorylase (carboxylating) activity|cytoplasm|NAD biosynthetic process,https://www.uniprot.org/uniprotkb/A0A423P322
A0A5E7F664,GO:0004803|GO:0003677|GO:0006313,transposase activity|DNA binding|DNA transposition,https://www.uniprot.org/uniprotkb/A0A5E7F664
A0A5E6XTR0,GO:0005886,plasma membrane,https://www.uniprot.org/uniprotkb/A0A5E6XTR0
A0A0B7DFV1,GO:0000725|GO:0016787|GO:0043138|GO:0033202|GO:0003677|GO:0005829|GO:0005524,recombinational repair|hydrolase activity|3'-5' DNA helicase activity|DNA helicase complex|DNA binding|cytosol|ATP binding,https://www.uniprot.org/uniprotkb/A0A0B7DFV1
A0A2T0I9E2,GO:0008812|GO:0050660|GO:0019285,choline dehydrogenase activity|flavin adenine dinucleotide binding|glycine betaine biosynthetic process from choline,https://www.uniprot.org/uniprotkb/A0A2T0I9E2
Q56G36,GO:0004049|GO:0006541|GO:0000162,anthranilate synthase activity|glutamine metabolic process|tryptophan biosynthetic process,https://www.uniprot.org/uniprotkb/Q56G36
A0A5E7ULU4,GO:0004029|GO:0004028|GO:0005737|GO:0006081,aldehyde dehydrogenase (NAD+) activity|3-chloroallyl aldehyde dehydrogenase activity|cytoplasm|cellular aldehyde metabolic process,https://www.uniprot.org/uniprotkb/A0A5E7ULU4
A0A109LK92,GO:0016779|GO:0005524,nucleotidyltransferase activity|ATP binding,https://www.uniprot.org/uniprotkb/A0A109LK92
A0A0F4VE19,GO:0047617,fatty acyl-CoA hydrolase activity,https://www.uniprot.org/uniprotkb/A0A0F4VE19
A0A4Y9TLF8,NA,NA,https://www.uniprot.org/uniprotkb/A0A4Y9TLF8
A0A120FVT1,NA,NA,https://www.uniprot.org/uniprotkb/A0A120FVT1
A0A109KT89,GO:0051999|GO:0000030,mannosyl-inositol phosphorylceramide biosynthetic process|mannosyltransferase activity,https://www.uniprot.org/uniprotkb/A0A109KT89
A0A109L0I2,NA,NA,https://www.uniprot.org/uniprotkb/A0A109L0I2
